ch0,ch1,ch2
-0.826825,0.0098773,-0.0107399
0.298656,0.359098,-0.152984
-1.41526,0.0878531,-0.40416
2.36675,0.371944,-0.258906
-1.10176,0.142357,-0.647334
1.82445,-0.240802,-0.248542
-1.19674,0.24584,-0.703334
0.911023,0.267916,-0.243581
-0.788393,-0.177751,-0.557186
1.24262,0.436545,-0.173693
-0.991036,0.171917,-0.481695
0.64806,0.0573783,0.0399525
-0.448344,0.0223092,-0.564517
0.256822,-0.0023844,-0.231808
-0.112024,-0.0803118,-0.428166
0.0753354,-0.40558,-0.608423
-0.0515176,-0.156041,-0.698784
0.0343024,-0.113688,-0.6465
0.220885,-0.0501941,-0.651182
-0.173327,-0.019028,-0.750432
0.117934,0.198889,-0.673539
-0.072979,0.0782016,-1.58336
-0.396067,0.0181956,-1.40687
0.259393,0.00204707,-1.37162
-0.161933,-0.0171152,-1.46567
0.269258,-0.0234132,-1.27943
-0.183606,-0.00909251,-1.23837
0.0950292,0.00576794,-0.85431
0.235222,0.219796,-0.933347
-0.161853,0.0661032,-0.474158
0.110624,0.0254405,-0.313523
-0.0750059,0.897567,-0.365624
0.0512392,0.485123,-2.59979
-0.0509043,0.189714,-2.49957
0.0454761,0.0971886,-2.12781
-0.189032,0.0425843,-1.99325
0.116629,0.276903,-1.74396
-0.0865317,-0.252462,-1.04478
-0.0224277,-0.10485,-0.968151
0.015389,-0.0411644,-0.928473
-0.0102212,-0.0899965,-0.886041
0.00702895,0.146465,-0.302354
-0.00518112,-0.495064,-0.25904
0.0202559,-0.184833,-0.191689
0.479218,-0.0710727,-0.215743
-0.22569,-0.0258028,-0.211001
-2.92666,0.0202302,0.0203517
2.14825,0.0294979,-0.258071
-2.12197,-0.531821,-0.338945
0.887163,-0.210228,-0.0111283
-0.606138,-0.0847254,-0.591153
0.167681,-0.0437182,-0.507545
0.260649,-0.680835,-0.757219
-0.144289,-0.261611,-0.642191
0.0451849,-0.0995882,-0.897127
-0.474605,-1.03433,-0.918762
0.327992,-0.397453,-0.86058
-0.0403652,0.418063,-0.936862
0.0276772,-0.673686,-0.651538
0.64218,-0.257924,-0.835189
-0.4237,0.680212,-0.513762
0.340471,0.260536,-1.55005
-0.235568,-0.0719276,-2.42259
0.166403,0.379634,-2.07697
-0.114893,0.142382,-1.98066
-0.592051,0.0547104,-1.93494
1.91617,-0.287158,-1.26361
-1.30996,-0.133617,-1.36516
0.895467,-0.111468,-1.07677
-0.37653,-0.0429717,-1.51038
0.257478,1.68563,-0.974079
-0.174977,0.614331,-0.880256
