ch0,ch1,ch2
-0.979399,0.196341,0.0371406
-0.336651,-0.152656,-0.355714
-0.844253,0.0775392,-0.499735
-0.730255,0.0818273,0.115804
-0.567344,-0.0792589,-0.705732
-0.643769,0.0268035,-0.0914466
-0.629776,-0.0293501,-0.541215
-0.575359,0.154395,-0.213701
-0.440254,-0.119307,-0.519995
0.85467,-0.900197,-0.00579624
0.678895,0.656386,-0.254312
0.399552,-0.223964,-0.491169
0.333039,0.262323,-0.168756
0.243354,-0.184981,-0.212232
0.193302,0.249388,-0.0776739
0.315769,-0.0558297,-0.0771945
0.208995,0.819253,-0.2764
0.16601,-0.635836,0.240269
0.0641581,0.485926,-0.238451
0.0505797,-0.449124,-0.0336606
0.0418658,0.34847,-0.0436259
-0.0634162,-0.277672,-0.0758973
-0.0542629,-0.51957,0.0398412
-0.04442,0.22858,-0.0193744
-0.0612113,-0.416428,-0.0593866
-0.216125,0.805889,-0.0718357
-0.45874,-0.603561,-0.0974219
-0.364752,0.217584,2.34168
-0.29168,-0.140132,-3.2587
0.879308,0.122648,1.67105
-0.744895,-0.0912352,-1.28999
-0.591547,0.0520308,0.167864
-0.464799,-0.253821,-0.813102
-0.11786,0.845482,0.238544
-0.0809795,-0.671367,-0.506833
-0.124491,0.520971,0.61021
-0.0988867,-1.11724,-0.540811
-0.0625953,-0.616888,0.310023
-0.0528026,0.478268,-0.200963
0.00389096,-0.365282,0.0259302
-0.648829,0.283428,0.240736
0.00345368,0.212497,-0.355443
0.318893,-0.180351,-0.282161
0.249523,0.10503,0.433699
0.221051,0.190893,0.111461
0.175598,-0.346948,-0.276103
0.0824821,0.280659,0.637253
0.0655853,-0.448796,-0.543971
0.152206,-0.201248,-2.23389
0.115367,0.156165,1.3096
0.0863373,-0.121183,-0.825581
0.0685388,0.0945773,0.705941
0.0625884,-0.0551011,-0.479778
0.258635,0.111183,-0.0344255
0.179875,-0.0827635,-0.0378639
0.15602,0.0820946,-0.503451
0.12494,-0.0525284,0.162482
-0.542803,0.0411512,-0.41778
-0.438536,-0.065739,0.165538
-0.348573,-0.208258,-0.500376
-0.276887,0.155173,0.013613
-0.216474,-0.375956,-0.406844
-1.02132,1.30469,-0.235926
-0.811254,-1.01247,-0.621587
-0.675523,0.783305,-0.268677
-0.834836,-0.602166,-0.35217
-0.648721,0.290004,-0.215261
-0.475545,-0.232891,-0.55089
-0.405615,0.159365,-0.115003
-0.262399,3.27157,-0.310257
-0.213984,-2.54176,-0.415871
-0.169944,1.66667,0.214837
-0.267634,-0.672109,-0.408386
0.185212,1.90234,-0.421661
-1.73382,-1.38973,0.117938
-1.3773,1.07276,0.0494815
-1.06044,-0.881727,-1.42037
-1.68317,0.659495,0.850081
-1.33767,-0.510576,-1.13297
-1.06259,0.211368,-0.480597
-0.787957,-0.206174,-0.623887
-0.43142,0.161536,-0.261631
-0.349277,-0.154787,-0.598702
-0.542838,0.107051,0.073068
-0.175609,-0.112019,-0.327614
0.0411511,0.0872118,-0.138568
0.022826,-0.0677171,-0.0981304
0.0224516,0.131926,-0.00305466
0.0234023,-0.0969985,-0.0296639
0.0367478,0.0710342,0.0217677
0.0300413,-0.0633071,-0.0392659
0.302219,0.590816,0.106035
-0.28489,-0.446101,0.113676
-0.113542,0.31795,-0.154447
-0.0846821,-0.095621,-0.321902
-0.0682891,0.0664376,0.140109
0.107372,-0.0343032,-1.71452
-1.20193,-0.028094,1.02295
-0.798021,0.0528231,-0.713855
-0.628136,-0.167563,-0.440975
-0.644439,0.214351,-0.294641
-0.503772,-0.166273,-0.305122
-0.402972,0.129027,-0.248261
1.40785,0.979309,-0.232473
1.73652,-0.633419,-2.64733
1.38792,0.501674,0.67792
1.06526,-0.38584,-1.94072
0.826305,0.256529,0.223522
0.652923,-0.182634,-1.05022
0.501051,0.170609,0.1687
0.324551,0.957616,-0.607332
0.23716,-0.767418,-0.0782128
0.186277,0.587577,-0.0704732
0.134155,-0.454146,-0.193756
0.0724699,0.355168,0.068954
-0.0225837,-0.276727,-0.131771
1.64105,0.120387,0.0718156
0.98382,-0.101533,-0.0127328
0.674913,0.121389,-1.18035
0.544186,-0.0941985,0.0202267
0.428874,-0.0131215,-0.400593
0.348279,0.283688,-0.155247
0.327691,-0.226044,-0.243248
0.461579,0.14689,-0.0827783
0.409165,0.513913,-0.0336686
0.226871,-0.392071,-0.487754
0.316656,0.284763,0.109516
-0.298231,-0.221079,-0.323257
-0.237043,0.169805,-0.00621364
-0.200654,-0.133751,-0.236034
-0.278756,-0.00699132,-0.0329303
-0.200711,-0.0219601,0.319737
-0.160046,0.0342633,-0.380726
-0.0210532,-0.0345181,1.57892
-0.342525,0.0188574,-2.24335
-0.211461,-0.0141279,1.38544
-0.155623,0.149457,-1.14696
-0.123413,-0.553095,0.257878
-0.38364,0.473528,-0.214665
-0.306332,-0.72251,-0.0978721
-0.613324,0.543535,-0.129781
-1.39052,-1.18771,0.366077
2.42341,-0.233422,-0.644684
2.01649,0.18097,-0.659881
2.17778,-0.248461,-1.14368
1.72198,0.196067,-0.584199
1.40156,-0.528035,-1.15631
1.14722,0.408888,-0.424402
0.933031,-0.249006,-0.859271
0.741132,0.194226,-0.282783
0.587512,-0.15072,-0.538052
-0.419799,-0.137618,-0.585827
-0.310743,0.108351,-0.0481399
-0.239237,-0.0728416,-0.292718
-0.0503333,0.235731,-0.0103367
-0.0420436,-0.237501,-0.222682
0.495054,0.083962,0.237426
0.384273,-0.0684593,-0.257895
0.107371,0.0875576,-0.254408
0.167861,-0.0679711,-0.256832
0.123063,0.0515524,0.363117
-0.0997811,-0.0400824,-0.333289
-0.0790644,0.0367509,0.0552157
-0.0195087,-0.139984,-0.896717
-0.0140889,0.147063,0.534917
0.00111672,-0.146972,-0.369772
6.93692,0.434478,0.209855
5.56555,-0.335345,-0.103364
4.78026,0.211376,-4.99323
3.01396,-0.366008,-1.01981
2.39894,0.283991,-2.85194
1.95192,-0.220371,-0.479426
1.54563,0.179009,-1.21725
1.16052,-0.138839,-0.700054
0.928064,-0.432003,-1.79091
0.734072,0.528072,0.315093
0.562161,-0.398488,-0.934618
0.59843,0.248577,0.48531
0.713579,-0.27412,-0.739398
0.569587,0.213243,0.069906
0.443067,-0.252057,-0.595331
0.365549,0.204637,-0.044291
0.347433,-0.114095,-0.377454
0.301054,-0.319341,-0.0210344
-0.0678539,0.244669,-0.189801
-0.0577602,-0.20245,-0.211039
-0.0412486,0.524688,0.107131
-0.00867509,-0.407151,-0.186884
0.0817991,0.391727,0.239939
0.108591,-0.303973,-0.200451
-0.0596934,0.157191,0.100357
-0.0828186,-0.121978,-0.122692
-0.248009,0.113844,0.167475
0.390562,-0.0880138,-0.155279
0.310821,0.0683114,-0.128085
0.26382,-0.0500465,-0.207824
0.319799,0.898707,-0.0794881
0.250464,-0.724509,-0.234246
0.0464648,0.532762,-0.0163778
0.0291489,-0.45569,-0.285063
0.0228286,0.348201,0.238483
0.356604,-0.406153,-0.20927
0.34902,0.31734,0.178456
0.148767,-0.260152,-0.31117
0.147475,0.159054,-0.0418771
0.156831,-0.15199,-0.100743
0.0050127,0.147563,-0.00839126
0.00385394,-0.146797,-0.136
-0.630516,0.114016,0.0708496
-0.497227,-0.203529,-0.0590578
-0.398107,0.158227,-3.49807
-0.562266,-0.123573,1.74864
-0.480655,0.215714,-1.36475
-0.380416,0.177957,0.28435
-0.319082,-0.203461,-0.343393
-0.250768,0.165616,0.017186
-0.182312,-0.128923,-0.260814
-0.204179,0.361467,0.00534619
-0.16523,-0.276571,-0.135852
0.855229,0.214714,0.0168163
0.679509,-0.184126,-0.1441
0.479025,0.0947829,-0.472177
0.380525,-0.10549,-0.193615
0.0624104,-0.241948,-0.518365
0.194919,0.187726,0.0452096
0.159907,-0.166105,-0.0962652
0.255032,0.156858,-0.00247443
0.27601,-0.121509,-0.115998
0.225188,1.45292,0.126573
0.271704,-1.10014,-0.343291
0.216525,0.734645,0.142786
0.142953,-3.66689,-0.363889
0.0063296,2.86879,0.190379
-0.00397429,-2.22625,0.411206
-1.57591,1.73197,-0.152237
-0.642958,-1.41348,0.0495988
-1.01432,1.06292,-1.07331
-0.805745,-0.830443,0.0767917
-0.868753,1.36168,-0.837481
-1.52118,-1.64589,0.653036
-1.20837,1.43371,-1.06618
-0.962671,-1.21064,-0.58641
-0.765084,0.93959,-0.427494
-0.591185,-0.657322,-0.468826
-0.49324,0.38831,-0.20582
-0.386359,-0.249647,-0.365089
-0.293375,0.211094,-0.116643
-0.23679,-0.183045,-0.224752
-0.190368,0.81758,-0.0684885
-0.135606,-0.687912,-0.219485
-0.107697,0.721647,-0.0654363
-0.0851437,-0.559942,-0.179929
-1.40627,0.413494,0.0922982
-1.11702,-0.445711,-0.0467428
-0.88194,0.25572,-1.00792
-0.700798,-0.197946,-0.157815
-0.552873,0.530344,-0.543088
0.251488,-0.409059,-0.52036
0.199826,0.303663,-0.0382293
0.18818,-0.149036,-0.197322
0.0880647,0.119097,0.226098
0.00803076,-0.0912413,-0.295949
-0.00467912,0.0562036,0.120458
-0.109728,-0.166202,0.243352
-0.0871601,0.12897,-0.133219
-0.150667,0.0343062,-0.0117322
-0.120215,-0.0358077,0.160434
-0.392315,0.18196,-0.207173
-0.762639,-0.376514,0.0120619
-0.63663,0.292823,-0.47146
-0.627193,-0.227148,-0.30636
-0.526032,0.554554,-0.243672
-0.440774,-0.0251403,-0.380133
-0.354453,0.0414396,-0.148369
-0.167279,-0.0321131,-0.22572
0.123708,0.0584308,-0.110709
0.136428,-0.00165842,-0.0469293
0.103723,0.0010932,0.382506
0.417837,0.17302,-0.288035
-0.0270393,-0.134659,0.109564
-0.849844,0.093607,-0.765322
-0.67313,-0.0602823,0.396701
-0.534686,0.0604061,-1.13821
-0.424986,-0.0120757,0.201176
-0.337574,0.0778814,-0.515812
-0.709691,-0.0288877,-0.000921875
-0.718488,0.0215374,-0.244955
-0.382791,0.680435,-0.202531
-0.195365,-0.529734,-0.475293
-0.192802,0.410959,-0.196359
0.569291,0.237489,0.117304
0.329426,-0.197635,-0.243112
0.243018,0.153316,-0.24465
0.195536,-0.115677,-0.146409
-0.015329,0.0855828,-0.379626
-0.0237927,-0.0807984,0.0976263
-0.0194176,-0.0026166,-0.0630117
