ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9
4.07274,12.8502,17.2623,-2.25115,-1.76287,-3.87479,-14.1717,4.35234,7.79836,-10.732
1.54343,19.6173,-0.472048,-10.6138,9.82839,-0.19513,-8.89289,-5.2134,9.56345,-2.97371
7.01756,16.4075,-12.9725,1.60756,8.88483,1.41576,-6.84775,-6.65454,5.85101,7.72304
11.2998,-8.84351,-10.3914,-4.20879,13.9569,-2.08143,-0.165737,-4.48828,-0.0586693,14.0109
-3.9703,-11.9485,5.83542,-0.221243,13.2141,8.41977,-2.93995,-0.342725,-0.135453,15.4346
-12.4957,3.45985,3.45182,9.4416,14.5243,-3.84505,-3.57386,3.07335,7.24927,13.1407
-10.3765,2.02299,18.4687,10.4122,-5.24405,-7.61781,0.885194,6.89426,11.9417,-0.191105
4.37439,-3.99932,17.8832,0.409377,-12.2015,1.72783,0.395993,8.48156,9.58297,-10.0451
6.22843,16.6567,5.49554,-14.8653,1.85624,0.897913,4.90909,12.0006,0.176247,-7.13632
1.53649,18.5851,-11.5601,2.34923,-1.2989,5.37715,11.8964,6.20535,-8.48562,0.37918
7.87902,17.7511,1.19957,13.2186,12.7839,7.53457,8.90594,-6.92491,-3.24425,0.531816
13.2353,24.2358,9.39687,10.3984,11.1421,-0.365445,4.13513,-5.36801,2.51624,3.88792
27.1078,1.78835,-9.93556,8.76897,13.6484,0.430956,7.35651,0.884486,5.3742,15.6057
-19.2449,-11.745,-7.11836,2.15295,19.0191,7.5089,5.48494,7.20021,13.1775,15.2064
-12.5963,-1.72347,-2.56763,-5.05513,13.6752,18.4775,-1.34308,10.7438,8.71263,-20.5306
-1.34031,-4.83574,1.50506,-2.57956,6.26493,24.7508,5.99642,7.9574,-12.0256,-14.4109
-4.09799,-5.11149,2.77371,3.81685,10.2211,25.6727,-6.71061,3.92739,-9.68816,-4.66779
-1.40955,-1.74426,2.32963,11.0753,20.7429,3.14419,-5.73258,20.2534,6.85666,1.49856
6.39953,3.89976,5.46335,17.2299,0.338449,-19.1344,-7.64726,12.4797,8.98941,-9.59309
9.3767,18.193,7.55951,-1.72103,-14.3475,10.1958,-10.8334,-3.17253,10.3408,1.11228
13.253,3.79426,-9.19894,7.47793,-8.75165,13.2533,8.17931,0.450406,11.5755,17.5322
-12.5432,6.79,-5.2937,7.40735,13.5769,15.9948,8.12762,2.23937,14.8653,15.9359
-9.22479,5.67078,22.3358,16.8335,13.6245,-0.560037,-4.6911,2.86824,17.9643,-6.858
8.31775,9.98412,24.0222,-5.13332,-16.8838,6.6571,3.39662,2.01286,18.5946,-4.48287
11.3588,13.1093,-19.8221,-11.8122,-6.40159,-4.31056,5.50478,15.953,16.1719,1.92348
16.3651,-8.99452,-18.4266,5.084,2.6726,-1.95346,-0.725324,20.528,12.6129,-4.00032
24.1048,-4.44854,10.5565,1.93428,6.28031,2.08008,2.39999,21.9955,8.22819,-0.399102
26.5172,11.6089,-1.99124,5.63714,7.68522,6.18831,11.5322,22.747,-0.188984,3.49272
28.5248,-2.1911,-1.34803,3.10036,18.5113,20.3855,7.48138,-2.7213,-10.0277,-7.42619
2.60641,18.9958,-9.61273,1.8959,24.8234,-5.31108,-14.0644,11.5002,-5.00131,-14.9057
-13.3262,12.5536,12.2767,5.78001,21.8856,-13.39,9.30477,12.2936,-7.43416,-0.222223
7.07637,9.07776,26.4816,4.02438,-6.38872,-7.30237,7.27365,15.9894,-2.96027,17.858
9.94782,9.21374,3.74024,-11.6216,11.8418,0.717261,0.894673,20.2462,27.1349,13.3183
9.72431,14.3066,-10.8544,-5.44073,4.28166,17.8339,18.6138,22.4798,-2.28556,-16.3763
-12.3342,12.1139,3.8326,6.68436,13.4422,21.4205,-12.6441,-20.1968,7.46587,-9.12119
-10.4429,-5.80514,12.0741,18.5948,-3.10139,-12.6783,-15.7212,-12.7709,-7.96866,-4.51604
-6.652,-6.52555,-7.04399,18.6143,3.6777,14.867,-6.96092,4.96554,-9.34602,1.92892
-2.85906,3.26616,-5.99906,5.71517,21.8493,-9.86823,-2.01499,11.1325,6.71946,7.13725
-0.375929,7.50129,0.711557,4.40436,20.4473,-5.64848,7.97529,20.1521,4.46119,-3.2886
5.70909,10.2374,9.36733,11.5613,16.6762,0.720068,10.1037,18.2765,-9.46695,8.4273
27.7653,11.4931,7.95054,13.5786,5.60377,1.46267,12.856,10.9142,-5.70768,9.6396
33.9249,5.43831,-3.46662,14.0835,11.1093,4.72423,14.1852,0.602368,-6.58458,-4.08349
24.2023,9.40535,-14.8512,6.04755,28.3909,3.90173,5.61,-4.02715,3.33517,-7.41838
20.0402,-13.9153,9.74376,-16.8213,7.16247,19.822,-12.3366,4.54029,7.85823,9.40394
-4.97511,-6.32432,20.8981,17.0236,5.59189,15.4138,-3.31974,9.79511,26.5724,2.09015
16.6249,11.3063,15.5043,27.1864,0.625749,10.689,9.40827,14.1899,15.0631,-8.32526
4.7437,37.9491,-4.94071,-6.42262,-3.83375,7.86218,25.1201,-1.76407,-5.13749,-4.45589
-0.944759,36.8287,11.9554,-3.44454,0.812782,6.85723,23.7362,-0.853797,12.911,0.449172
4.06655,35.0784,-9.15461,9.33439,1.12176,10.3977,28.4399,3.47239,5.39215,1.32119
21.2277,30.2598,1.73558,9.84545,20.1217,18.5177,3.05572,-9.08203,9.42536,16.1032
6.21213,-30.0763,6.52769,13.2215,24.5941,-14.195,5.20892,-4.73813,-5.85439,22.9641
