ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.1299995,0.9915864,0.4905345,1.030064,0.4449782,1.208354,0.8275433,1.33801,0.7594366,0.5416189,0.4723597,0.6128057,0.824279,0.1653113,-0.04534854,-0.08952845,0.5079556,0.9881393,0.9879015,0.3104245,-0.0296296,0.3714619,0.1303855,-0.2879571,-0.7570968
0.1177287,-0.3039721,-1.158954,-0.695533,-0.006826828,-0.8934599,-0.6067778,-0.6699497,-0.587785,-0.1687109,-0.5272508,-0.5854192,-1.257047,-1.425475,-0.9528249,-0.5325795,-0.5941852,-0.5730413,-0.9125684,-1.771136,-0.5485786,-0.3573398,-0.9146062,-0.4162995,-0.5673418
-0.9909324,-1.090502,-2.151765,0.3229712,0.2052481,-1.026817,-0.7282763,-0.4213146,0.7020661,-0.8317372,-0.1559443,-0.6169775,-1.649813,-0.505295,-0.4512504,-0.5698987,-1.563769,-0.1691212,0.3882249,-0.1059571,-0.6952426,-0.4925604,-0.2041664,0.242243,-0.9227844
1.940631,1.968976,1.331214,1.124436,2.065039,2.659311,-0.8290013,1.671531,1.285324,2.17595,2.217905,1.995058,0.9593338,0.5808638,1.64842,2.218253,1.687753,1.694903,1.392545,2.065767,1.909475,1.80255,1.425453,2.481746,1.766724
0.788248,0.04123871,-0.2866047,0.9374873,0.5216608,-0.4782104,0.4598628,0.5421842,-0.3687491,1.290336,0.5387119,0.5381054,-0.6420794,-0.05967551,0.5235213,-0.5411185,0.4057388,0.5125121,1.254947,0.6509854,-1.422617,0.3523202,0.7717847,0.1617962,0.05675895
-0.2466839,0.4683115,-0.3209747,-0.1796908,0.2005591,1.249867,0.277947,0.501262,0.416195,0.8750136,0.1429616,0.5803909,1.096024,-0.5322694,1.370843,-0.5236866,0.4900165,-0.3745329,-1.117787,1.224794,-0.0893665,-0.6524888,0.2471048,-0.2095728,1.195054
1.562815,1.300994,1.89112,1.340983,0.880392,1.904123,1.048562,1.311082,1.096189,1.06416,1.231313,0.6075304,0.852777,0.9498134,0.7432473,1.604791,0.7248592,0.7253051,1.354046,0.5563593,0.869073,0.9402965,0.2563272,0.8413274,0.02087208
1.525198,0.6951357,1.46136,1.298039,1.021986,0.2293625,0.920831,1.235506,1.381812,1.219007,0.4358226,1.456299,1.214962,1.472927,1.560736,0.431255,1.155989,1.365846,0.9072585,1.205479,0.4012947,0.2212905,0.3880063,0.5847132,0.8793499
-0.6366845,-0.4200774,-0.3271438,-0.5978401,-0.0536362,0.1890968,-1.013492,-0.3768532,-0.589403,-0.6695293,-0.8515546,-0.1869044,-0.2236407,-0.5155231,-1.164317,-0.538509,-0.9246497,-0.6975414,-0.3490829,-1.110537,-0.893214,-1.316189,-0.5412784,-1.305149,0.2139572
-0.6790147,-0.8269349,-0.3590099,-0.00988041,-0.5850939,-0.0970784,0.984955,-0.151863,-0.026799,-0.5764548,-0.297212,-1.280091,-0.5940677,0.3707933,-0.4923313,-0.9373197,-0.3918213,-0.3968987,-0.1728299,0.1332927,-1.781326,-1.183348,-1.290131,-1.12326,-1.127839
-0.9000297,0.5086175,1.588767,1.125097,0.5427818,-0.5162956,0.333349,-0.1384857,0.3874662,0.4087387,0.2917285,-0.8918189,0.9042917,-0.6479186,-0.1045,-1.073184,-0.08494137,-0.5837504,-0.7671613,-1.095197,-0.5163826,-0.7374947,-0.007357997,-0.9205562,-1.774746
