ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.1299995,0.9915864,0.4905345,1.030064,0.4449782,1.208354,0.8275433,1.33801,0.7594366,0.5416189,0.4723597,0.6128057,0.824279,0.1653113,-0.04534854,-0.08952845,0.5049227,1.02209,0.9879015,0.3104245,0.02607,0.3714619,0.1303855,-0.2879571,-0.7570968
0.1177287,-0.5618821,-1.082923,-1.373683,-0.07150383,-0.001339881,-0.6365148,-0.6699497,-0.587785,0.6732891,-1.111938,-0.5854192,-1.429186,-0.805655,-1.249945,-0.5325795,-0.4524243,-0.270551,-0.7359284,-2.449286,-0.60411,-0.3573398,-0.6230962,0.3347735,-0.5673418
-0.9909324,-0.8486025,-0.730285,-0.08261875,0.3454681,-0.3605346,-0.3610013,-0.4213146,0.1001061,-0.9109373,-0.7827262,-0.1803974,-0.002240959,-0.567785,-1.11924,-0.5728415,-0.704307,-1.41996,-0.2430551,0.09041288,0.03238,-0.4925604,-0.5308264,-0.06932803,-0.5508814
1.940631,2.537215,1.683663,0.9729758,1.794349,1.953471,0.7709587,1.671531,1.490054,1.741613,1.566795,1.584761,2.407395,1.400461,1.1831,1.880062,0.072889,1.804481,1.704725,1.904157,0.71245,1.66582,1.342116,2.088709,1.526384
0.788248,0.3926317,-0.03204474,0.8997873,0.6167358,-0.1860694,0.4611528,0.5421842,-0.2038091,1.203996,0.4667819,0.3116104,1.147892,0.6952545,0.7175913,-0.2389185,0.968989,0.91644,0.9331642,0.9615854,-0.04231,0.2471502,0.4766447,0.01914518,-0.5105811
-0.2466839,0.3199848,-0.08443069,-0.1581058,0.9138491,0.6185274,0.108297,0.501262,0.3259,0.8403136,-0.3209784,0.1963509,0.2587299,0.4855807,0.9976934,-0.3567756,0.4179,-0.025234,0.2588434,0.987914,-0.94507,0.06016117,0.4313549,1.107103,0.7876387
1.562815,1.607881,0.9627999,0.7114534,1.051222,1.064667,1.007142,1.311082,0.9596694,0.3909502,0.5179011,0.9615305,1.306387,0.9845034,0.2548073,1.068915,1.148648,0.997686,0.5568959,0.2675493,0.526488,0.5264165,-0.1198228,0.4611764,0.9646721
1.525198,0.7614856,1.688102,1.340313,1.010996,0.3837775,1.158911,1.235506,1.282435,1.079719,0.5694257,0.8078988,1.066571,1.067245,1.576119,0.811865,1.60128,0.763635,1.450659,1.539889,0.06333,0.5289105,0.4781283,0.5351002,0.8252999
-0.6366845,-0.4429484,-0.4576622,-0.68954,-0.3181962,-0.08215416,-0.1834351,-0.3768532,-0.941643,-0.1794493,0.2911268,-0.8206444,-1.463946,-0.1896331,-0.3030972,-0.909569,-1.22568,-0.1287406,-0.2249328,-0.6750264,-1.342668,-1.239027,-0.4168184,-0.9189852,-0.2633628
-0.6790147,-0.7405899,-0.2889709,-0.5031144,-0.2828539,-0.1218084,-0.747165,-0.151863,-0.372119,-0.9006047,-0.844972,-0.6869909,-1.099478,-0.02712669,-0.3714213,-1.44197,-0.987833,0.02104,-0.4855319,0.1061486,-1.253268,-1.393438,-1.876481,-0.8877003,-1.005369
