ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.1299995,0.9915864,0.4905345,1.030064,0.4449782,1.208354,0.8275433,1.33801,0.7594366,0.5416189,0.4723597,0.6128057,0.824279,0.1653113,-0.04534854,-0.08952845,0.5079556,0.9881393,0.9879015,0.3104245,-0.0296296,0.3714619,0.1303855,-0.2879571,-0.7570968
0.1824057,-1.215302,-1.082923,-1.250563,-0.07150383,-0.5660199,-0.9336348,-0.2973696,-0.884905,-0.1687109,-0.8148178,-0.5854192,-0.7010964,-0.256315,-0.9528249,-0.5325795,-1.458085,-0.3964013,-0.7359284,-1.771136,-0.5485786,-0.4942898,-1.091246,-0.4630365,-0.6077818
-1.131152,-0.7013525,-0.730285,-0.7050787,0.3454681,-0.2874666,-1.028991,-0.7930146,-0.5678839,-0.8317372,-0.1147362,-0.1803974,-0.709461,-0.8654979,-0.4512504,-0.5728415,-0.3351586,-0.5088912,-0.2430551,-0.1059571,-0.4822226,-0.7317634,0.1356036,1.235473,-0.6029444
2.211321,1.273156,1.683663,1.197066,1.794349,2.131781,0.3056387,0.7690706,1.024734,2.17595,2.032115,1.584761,2.027408,1.621364,1.64842,1.880062,1.017056,1.817153,1.704725,2.065767,1.524978,1.52928,1.303203,1.740046,1.665684
0.693173,-0.3664883,-0.03204474,1.082587,0.6167358,-0.2217704,0.6552228,1.529874,-0.009739059,1.290336,0.2727119,0.3116104,0.3502616,0.7896045,0.5235213,-0.2389185,1.160154,0.2125621,0.9331642,0.6509854,-0.6600116,0.4290602,1.071735,0.7610212,-0.4888681
-0.9599739,-0.8730885,-0.08443069,-0.3034025,0.9138491,0.1844074,-0.264853,0.424692,-0.04724997,0.8750136,0.0521716,0.1963509,0.6734899,0.3371007,1.370843,-0.3567756,0.1231465,-0.005692874,0.2588434,1.224794,-0.2984565,-0.08572882,-0.1217352,0.3276373,0.7726547
1.391985,1.620741,0.9627999,0.8404234,1.051222,1.177307,0.5187023,1.36481,0.4712294,1.06416,1.006341,0.9615305,0.705357,0.6659154,0.7432473,1.068915,2.297559,0.5262852,0.5568959,0.5563593,0.368593,0.6350365,0.4553472,1.386147,0.9024811
1.536188,1.02568,1.688102,1.072652,1.010996,0.5872675,1.174294,1.682376,1.297818,1.219007,0.5540426,0.8078988,0.6903634,1.245217,1.560736,0.811865,1.404269,1.225476,1.450659,1.205479,-0.2667653,0.7431305,0.5283763,0.8348632,0.9000449
-0.3721245,-0.8082364,-0.4576622,-0.348892,-0.3181962,-0.5546042,0.6777849,-0.8184732,-0.08042301,-0.6695293,-0.5700932,-0.8206444,-0.9524557,-0.06872457,-1.164317,-0.909569,-1.32872,-0.5604314,-0.2249328,-1.110537,-1.042309,-1.168377,-0.6783884,-1.558539,-0.2095488
-0.9812547,0.08259006,-0.2889709,-0.1939704,-0.2828539,-0.7643784,-0.626255,-0.322163,-0.251209,-0.5764548,-0.965882,-0.6869909,-1.208968,-0.4078067,-0.4923313,-1.44197,-1.626181,-0.3750507,-0.4855319,0.1332927,-1.525699,-0.6469584,-1.311979,-1.049108,-1.128269
-0.9616476,0.3631445,0.1849072,0.6071629,0.6043999,0.08408374,-0.235505,-0.8470358,0.09115221,0.4087387,0.6974385,-0.1370489,-0.1083293,-0.6814596,-0.1045,-0.9064344,-0.08741837,-0.2728004,0.3049487,-1.095197,-0.3281706,-0.2507846,-0.318308,-1.538298,-1.122326
-0.2220494,-1.204397,-0.6017031,0.5760807,-0.01385825,0.1611435,-0.2812791,0.4230514,-0.5807117,0.05363575,0.09788307,-0.5363041,0.278079,0.07334595,-0.4959616,-0.5663057,-0.9229664,-0.9083461,0.008638527,-1.156467,-0.5489616,-1.143182,-0.3881465,-1.101918,-0.6803715
-1.439982,-0.9142539,-1.658528,-1.326179,-1.334756,-0.8645457,-1.3102,-2.224603,-1.269733,-1.068172,-0.711515,-1.366941,-1.248166,-0.484922,-1.725324,-1.538744,-2.052315,-1.040477,-1.208283,-1.966574,-1.04004,-0.4323618,-0.965947,-2.179187,-1.138429
-2.59579,-0.925441,-1.526118,-1.79433,-1.811126,-1.979015,-2.213566,-2.441464,-2.721472,-1.512925,-1.652788,-1.661841,-1.877834,-2.152843,-1.185727,-2.136869,-2.84707,-2.142717,-1.007225,-2.087344,-1.415118,-0.8078157,-1.174005,-1.165089,-1.891918
-1.652336,-1.274584,-1.138796,-1.092642,-1.261688,-0.07916921,-0.9744276,-0.3874206,-0.6426069,-0.6344752,-0.588118,-0.7771603,-0.174887,-0.2412231,-0.858899,-0.3555916,0.8037678,-0.8591707,-0.7516448,-0.5065114,0.04733205,-1.779431,-0.4420892,-0.9002254,-0.9018643
