ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.1299995,0.9915864,0.4905345,1.030064,0.4449782,1.208354,0.8275433,1.33801,0.7594366,0.53429,0.4723597,0.6128057,0.824279,0.1653113,-0.04534854,-0.08952845,0.5079556,0.9881393,0.9879015,0.346419,-0.0296296,0.3714619,0.1303855,-0.2879571,-0.7570968
0.1177287,-0.5618821,-1.410363,-1.31153,-0.1119438,-0.1945729,-0.6365148,-0.9973896,-1.643305,-0.94585,-0.8148178,-0.5854192,-0.9926063,-0.514145,-1.165845,-0.3170305,0.2492938,-0.1605513,-0.5384057,-1.340594,0.001911441,-1.64462,-1.242046,-0.05054652,-1.979192
-0.9909324,-0.8486025,-0.891965,0.9007043,0.2934052,-0.2588547,-0.3610013,-0.5829946,1.581426,-0.4104,-0.1147362,-0.1803974,-0.382801,-0.894445,-0.09649037,-0.1955915,-1.06573,-0.9857612,0.3491179,-1.620381,-0.2347626,-0.2332604,-0.3658464,0.418833,-0.6419414
1.940631,2.537215,2.100543,-0.3373342,1.933649,2.751961,0.7709587,2.088411,0.9900039,0.91906,2.032115,1.584761,2.110745,1.317124,0.9559701,1.541007,1.597281,1.627343,0.6807453,1.977101,1.173978,0.6303101,1.842332,1.672486,1.196104
0.788248,0.3926317,0.3492653,0.9517064,0.6384487,0.01818558,0.4611528,0.9234943,0.750041,1.72829,0.2727119,0.3116104,0.6454016,0.4001145,0.8510613,-0.8931485,0.2042648,0.7863721,1.048523,1.602086,-0.4512116,0.9883302,1.153095,1.034881,0.4965789
-0.2466839,0.3199848,0.1600593,1.154714,0.8988651,-0.1037893,0.108297,0.745752,0.74458,1.32367,0.0521716,0.1963509,0.4892399,0.6698307,1.994814,-0.02112562,0.5421464,0.2253571,0.8783534,1.493546,-0.5174065,-0.2253988,0.4915949,0.9275273,-0.05290132
1.562815,1.607881,1.002136,0.7476234,0.989031,1.222437,1.007142,1.350418,0.7919894,1.565003,1.006341,0.9615305,1.081507,0.6083534,0.9877873,1.032906,0.8191712,0.6571751,0.8717859,1.635392,0.07153303,-0.3305335,0.2956632,1.318017,0.4123021
1.525198,0.7614856,1.766837,1.901493,1.085741,0.4461335,1.158911,1.314241,2.277435,1.478068,0.5540426,0.8078988,0.6002414,1.157367,1.542421,0.9322213,0.9052255,1.462256,1.938348,1.013708,-0.4961753,1.092564,0.4667413,0.9312732,1.641423
-0.6366845,-0.4429484,-0.3586412,0.09068995,-0.2643822,0.09734384,-0.1834351,-0.2778321,-0.485823,-0.769498,-0.5700932,-0.8206444,-1.076916,-0.06517307,-1.213874,-0.4013389,-0.5976212,-0.8272414,0.2962371,-1.701263,-0.676689,0.1796531,-0.4422573,-1.688239,0.6463372
-0.6790147,-0.7405899,-0.04943093,-1.25233,-0.4057539,-0.2629584,-0.747165,0.08767703,-1.045748,0.02491,-0.965882,-0.6869909,-0.622618,-0.6134767,-0.4026333,-1.16366,0.7115287,-0.7618807,-1.271362,0.31128,-1.263499,-1.284906,-1.050591,-1.41409,-1.388463
-0.9000297,0.3814634,-0.03811283,0.1936339,0.4777198,0.09607574,-0.201621,-0.3615058,-0.3949488,0.303532,0.6974385,-0.1370489,0.1768707,-0.5562596,-0.33238,-1.564944,-0.04823737,-0.4268204,-0.01210425,-0.76439,-0.02760063,-1.111219,-0.230378,-1.381368,-1.563765
-0.2823624,-0.2623974,0.129727,-0.6767232,-0.1135223,1.213576,-0.3188861,0.6330513,-2.136376,0.42943,0.09788307,-0.5363041,-0.287751,0.06710246,-0.1331016,-0.9346427,-0.1962414,-0.6904561,0.3055715,-1.199656,-0.6101276,-1.731839,0.1267835,-1.100528,-1.651631
