ch0,ch1,ch2,ch3
0.319476,-0.438413,-0.109192,0.215351
-1.43673,0.643318,-0.388555,0.196502
2.41399,-0.6155,-0.0938644,0.207213
-1.18877,0.360611,-0.685872,0.289691
1.91086,-0.0389479,-1.16361,0.0305259
-1.29911,0.246317,-0.301005,-0.305349
1.01044,-0.539931,-0.886513,0.209909
-0.879244,0.950472,-0.534692,-0.571732
1.32464,-0.952575,-0.398514,0.54152
-1.07712,0.853508,-0.56872,0.307722
0.731312,-0.84806,-0.547213,0.214088
-0.521821,0.698888,-0.431183,0.258136
0.318868,-0.826477,-0.595593,0.218664
-0.161658,0.292506,-0.145927,0.199603
0.112923,-0.381213,-0.129902,0.353456
-0.0797673,0.193186,-0.0558636,0.150035
0.0554182,-0.295931,-0.19422,0.172784
0.205197,0.167065,-0.0775756,0.177371
-0.167256,-0.0568993,-0.922247,0.353971
0.117576,-0.0531048,0.0714585,-0.191523
-0.0753992,-0.0710483,-0.121715,0.198132
-0.392703,-0.0478403,-0.0339799,-0.237347
0.265996,-0.0744288,-0.0615846,0.211301
-0.172475,-0.0530375,-0.143162,0.131608
0.280372,-0.0584839,0.0714382,-0.150986
-0.197558,-0.041393,-0.146842,0.200896
0.109043,0.148831,0.198673,0.136599
0.223173,-0.266088,-0.130498,0.123572
-0.158676,0.141545,-0.029366,-0.333585
0.11205,0.647583,-2.56807,0.233857
-0.07852,-0.572872,0.27643,-1.162
0.0554207,0.428697,0.0387182,0.433118
-0.0550185,-0.485075,-0.045944,0.314463
0.049535,0.348538,0.0689885,0.258836
-0.192929,-0.17406,0.581731,0.165272
0.123665,-0.303917,-0.13304,0.03015
-0.094144,0.167087,-0.0323988,0.189307
-0.015091,-0.265807,-0.0548899,0.1555
0.0107166,0.0643618,0.499161,0.153063
-0.00727067,0.0114919,-0.10084,0.0576807
0.00517719,-0.671569,0.152792,0.417964
-0.00403285,0.522557,-0.0306322,0.159091
0.0195625,-0.597164,-0.00226886,1.3021
0.479248,0.449255,-0.00151619,0.681951
-0.236574,-0.486234,-0.182437,0.129395
-2.91386,0.368989,-0.203071,0.163747
2.20555,-0.780792,-0.0788695,0.493157
-2.21112,0.787642,-1.55221,0.283411
0.998216,-0.673489,-1.11079,-0.495752
-0.704666,0.55796,-0.883041,0.0933746
0.250994,-1.26811,-0.220419,0.164707
0.198018,1.07724,-0.677757,0.574118
-0.105972,-1.11163,0.010846,0.220447
0.021398,-0.0676623,0.0431628,0.484377
-0.458833,-0.0463414,0.102312,0.157561
0.327613,0.515853,-0.0403929,0.148886
-0.0475316,-1.41937,-0.304707,0.233573
0.0336526,1.21602,0.197958,-0.237347
0.637333,-0.464819,-1.54176,0.6503
-0.434834,0.344886,-0.554683,1.78102
0.357937,-0.593177,-0.171853,-0.228887
-0.255619,0.858219,-0.182391,0.0277073
0.185901,-0.91027,-0.334762,0.917473
-0.132433,0.741779,0.524992,0.204609
-0.577062,-1.1089,-0.0504869,0.203032
1.91901,0.9197,-0.285464,0.478897
