ch0,ch1,ch2,ch3
0.188713,-0.700368,-3.66609,0.226284
0.240496,0.707094,-1.07456,1.78685
-0.995252,-0.768571,-0.377442,0.364459
-0.395351,1.37241,-0.253002,0.123389
-0.412162,-0.71921,-0.801287,0.118931
-0.380458,0.966196,-1.46913,0.446942
-0.35574,-0.417372,-0.603587,0.593429
-0.0186153,1.18469,-0.739074,0.408887
-0.891691,-1.74651,-0.415331,0.254043
-0.833477,2.125,-0.232523,0.244713
-0.781596,-0.952853,-0.66709,0.251856
-0.581893,1.42232,-0.70434,0.322759
-0.674778,-0.0741564,-0.583733,0.258662
-0.628702,0.854221,-0.507946,0.344538
-0.652945,-0.412051,-0.43765,0.357038
-0.607856,1.01103,-0.534787,0.237936
-0.546091,-0.280736,-0.601011,-0.00758502
-0.641712,0.687919,-0.664058,-0.435369
-0.447402,0.0131517,-0.658816,1.14924
-0.343225,0.319498,-0.507494,0.0493496
-0.30684,-0.202676,-0.421183,0.160007
-0.212546,0.430516,-0.444434,-0.0217543
-0.229834,-0.144658,-0.232755,0.307634
-0.214152,0.298933,0.105703,0.02584
-0.281308,-0.117158,-0.134189,-0.256685
-0.263808,0.34153,-0.588614,0.223826
-0.230676,-0.0334784,-0.0173939,0.316723
-0.247838,0.232203,-0.207699,0.0421984
-0.236972,0.671559,-0.200129,-0.0892451
-0.253059,-0.291295,-0.244048,0.217223
-0.295966,0.692168,-0.185114,0.211848
-0.305776,-0.299906,-0.323479,0.130291
-0.284665,0.918111,-0.282771,0.220284
-0.404494,-0.461553,-0.27764,0.136362
-0.375278,0.714428,-0.260209,0.243689
0.107899,-0.225685,-0.365016,0.14153
0.141308,0.0835562,-0.194639,-0.783634
0.130846,-0.562727,0.0990695,0.356224
0.0518767,0.320454,-0.277965,0.0949561
0.00658518,-0.264651,-0.154171,-0.296629
0.490918,0.491542,-0.0648359,0.211785
0.457036,-0.79851,-0.0999239,0.0730068
0.399634,0.194293,-0.362953,0.251703
0.372738,-0.764012,-0.429195,0.217258
1.27344,0.270096,-0.489174,-0.00487302
1.18569,-1.66294,-0.341618,-0.000818045
1.12734,0.45875,-0.931678,0.154931
1.05221,-1.15633,-0.997497,0.525865
0.97519,0.117224,-0.872072,0.402282
0.758721,-0.839456,-0.945861,0.429271
0.702073,-0.647778,-0.890221,0.987954
0.652688,-0.0780045,-0.744704,0.284834
0.627812,-0.368198,-0.542554,0.744022
0.643521,-0.244457,-0.628,0.189018
0.679812,-0.357837,-0.577423,0.294607
0.635205,-0.281641,-0.0488638,0.429991
0.660697,-0.280935,-0.443883,-0.169572
0.572146,-0.2644,-0.534422,0.34678
0.729303,-0.348411,-0.757778,0.249836
0.692445,-0.341058,-0.61251,0.402918
0.641987,-0.307355,-0.602003,-0.120428
0.609321,-0.20077,1.71781,0.412258
0.567208,-0.0813706,-0.0511067,0.799385
0.672961,-0.443243,-0.761992,-0.0505105
0.977551,-0.145453,-0.611294,0.468442
1.95405,-0.400771,-0.603138,0.877038
1.54679,-0.521904,-1.06482,0.280714
1.13883,-0.496138,-1.58934,0.373103
1.04736,-0.524757,-1.4307,0.778606
0.975461,-0.246512,-1.11449,0.598335
0.975373,-0.554642,-0.994467,0.499253
0.911174,-0.0047087,-0.891991,0.501037
0.0213257,-0.13622,-0.877822,1.47223
0.0169823,-0.149804,-0.781455,0.193893
0.0725709,0.0910723,-0.204954,0.547308
0.0687786,-0.13639,-0.0621964,0.0568359
0.108277,-0.0703624,0.0582979,-0.406137
0.0997022,-0.0971416,-0.204245,0.553631
0.0920093,0.335664,0.47168,0.182532
0.086306,-0.36775,0.23255,0.267518
0.0872418,0.210396,-0.00715885,0.145325
0.0819981,-0.928727,-0.0590064,0.0719
0.0765053,0.619643,1.28617,-0.902983
0.0410575,-0.601333,0.129171,0.841326
0.0436051,0.378144,0.167002,-0.103697
0.0407753,-0.333911,-0.0197289,0.24859
0.182052,0.222955,-0.0227083,0.447596
0.341816,-0.660239,-0.07359,0.00969489
0.31885,0.199797,-0.127983,-0.0147756
0.29155,-0.387967,-0.123587,0.150758
0.245362,-0.0874271,-0.596149,0.118887
0.236017,0.757412,-0.334374,1.378
0.219768,-0.572258,-0.12555,-0.0523058
0.200529,0.238804,-0.340201,0.178296
0.186692,-1.34187,-0.216423,0.226404
0.149969,-0.123349,-0.187309,0.0776067
0.173626,-0.0809377,-0.156241,0.172919
0.152699,-0.131347,-0.138735,-0.460765
0.325761,-0.120345,-0.222462,0.26949
0.309839,0.344563,-0.14871,0.145668
0.30936,-0.450437,-0.336017,0.324226
0.15674,0.152466,-0.166396,0.18001
0.146404,-0.294686,0.201613,0.111121
0.176909,0.158303,-0.0264605,0.168724
0.0779517,-0.281929,-0.105013,-0.132282
0.0706829,0.149419,-0.142701,1.17052
0.0658062,-0.169751,-0.0872767,-0.113334
-0.197632,2.38237,-0.0681236,0.164542
-0.180856,-1.97643,-0.560296,-0.0769929
-0.107785,1.70041,0.460018,0.203651
-0.163842,-1.8152,0.00760485,-0.144515
-0.148222,1.58274,-0.0429006,0.21068
-0.363975,-1.09801,-0.215227,0.225073
-0.338851,2.20541,-0.148253,-0.77292
-0.737288,-1.39804,-0.252548,-1.09739
-0.545357,1.37488,-0.247378,0.383294
-0.500867,-0.796457,0.0421894,0.107924
-0.466287,1.6228,-0.365525,0.0673297
-0.48067,-2.0852,-0.377162,0.168736
-0.240822,2.13796,-1.39662,0.170859
0.536973,-1.52618,-0.801037,0.573415
-0.141495,0.725481,-0.347939,0.125606
0.057173,-0.437646,-0.473686,2.19857
0.48443,0.113482,-0.372466,-0.179279
0.454846,-0.55614,-0.186024,0.28252
0.250958,0.0367837,-0.38922,0.286974
0.297981,0.264624,-0.324034,0.854626
0.276816,-0.442219,-0.0264774,0.0909215
0.235677,0.0479685,-0.202245,0.121461
0.0332922,-0.24789,-0.238761,1.12819
0.0476799,0.111669,-0.209796,0.134273
0.0942192,-0.129496,-0.0169547,0.185232
0.0634717,-0.0952171,0.0142024,0.0504806
0.073197,0.0129906,-0.223048,-0.00825184
-0.0817102,0.483716,-0.095076,0.117207
-0.0245105,-0.500439,-0.178754,0.108913
-0.0228081,0.460304,-0.100022,-0.0286962
-0.0218828,-0.339965,-0.31528,0.118276
-0.0204773,0.31775,-0.0797141,1.04333
0.0465342,-0.229145,-0.0365586,-0.119253
0.0855784,0.136445,0.764432,0.142573
0.0945124,-0.183293,0.284526,0.53032
0.0882481,0.336064,0.00654655,0.227134
0.0822023,-0.223568,-0.112289,0.0495253
0.100173,0.100958,-0.290172,-0.0267114
0.0945137,0.133821,0.525927,0.247737
0.119787,-0.0197861,-0.120939,0.468839
0.108534,0.0479766,-0.411301,0.0914816
-1.34244,0.0515746,-0.177722,0.415587
-1.13765,0.606465,-0.148297,0.442449
-0.0130929,0.850846,-0.956014,0.0555841
-0.00359101,-0.812237,-1.01057,0.338695
-0.00344355,0.635442,-0.270434,-0.00759434
-0.00345981,-0.456632,-0.0661967,0.212249
-0.00338968,-0.55038,-0.474847,-0.0677728
-0.00315512,0.431588,0.442806,0.330202
-0.144191,-0.212815,-0.352013,1.55764
-0.148062,0.296471,-0.22155,0.0819431
-0.23695,-0.0464297,-0.132071,0.190537
-0.21905,0.233896,2.07343,0.128931
-0.206537,-0.354457,0.321566,1.06571
-0.180132,0.460997,0.0445131,0.00213272
-0.168229,-0.368085,-0.136019,0.062046
-0.0606573,0.435123,-0.145649,0.143383
-0.0554956,-0.348707,1.27756,0.13027
0.999689,0.322663,0.243049,1.826
0.248701,-1.06574,0.449153,-0.139508
