src,tgt,lag,sign
2,1,1,1
0,1,1,1
3,1,1,1
3,4,1,1
3,5,1,1
3,6,1,1
3,7,1,1
3,8,1,1
3,9,1,1
3,10,1,1
3,11,1,-1
3,12,1,-1
16,13,1,1
3,13,1,1
3,14,1,1
16,14,1,1
22,15,1,1
18,15,1,-1
20,15,1,-1
3,15,1,-1
27,16,1,1
16,17,1,1
22,19,1,1
18,19,1,1
23,19,1,-1
3,19,1,-1
20,19,1,-1
22,20,1,1
16,21,1,1
20,21,1,-1
21,24,1,-1
22,25,1,-1
22,26,1,1
37,28,1,-1
21,28,1,1
22,29,1,1
37,30,1,-1
21,30,1,1
27,31,1,1
21,32,1,-1
37,32,1,-1
37,33,1,1
21,33,1,-1
21,34,1,1
37,34,1,1
22,35,1,-1
43,36,1,-1
20,36,1,1
21,37,1,-1
16,37,1,-1
37,38,1,-1
37,39,1,-1
37,40,1,-1
37,41,1,-1
37,42,1,1
20,43,1,1
22,44,1,-1
49,44,1,1
37,45,1,-1
37,46,1,1
22,47,1,1
16,48,1,1
