src,tgt,lag,sign
50,0,1,-1
0,1,1,-1
0,2,1,-1
0,3,1,-1
5,3,1,-1
5,4,1,-1
0,4,1,1
5,6,1,1
5,7,1,1
0,7,1,-1
0,8,1,1
5,9,1,-1
0,9,1,-1
5,10,1,-1
5,11,1,-1
5,12,1,1
5,13,1,1
5,14,1,-1
5,15,1,-1
5,16,1,1
5,17,1,-1
5,18,1,1
5,19,1,-1
5,20,1,1
5,21,1,-1
5,22,1,-1
5,23,1,1
5,24,1,1
5,25,1,1
5,26,1,-1
5,27,1,1
30,28,1,1
0,28,1,-1
0,29,1,-1
30,29,1,-1
43,30,1,1
38,30,1,1
30,31,1,-1
30,32,1,1
30,33,1,1
30,34,1,-1
30,35,1,1
30,36,1,1
38,36,1,1
30,37,1,-1
38,37,1,1
82,38,1,-1
43,38,1,1
30,39,1,1
38,39,1,1
38,40,1,1
30,40,1,-1
38,41,1,-1
30,41,1,-1
38,42,1,-1
49,43,1,1
43,44,1,1
43,45,1,1
47,46,1,-1
43,46,1,-1
50,46,1,1
43,48,1,1
50,48,1,1
49,51,1,-1
50,52,1,1
50,53,1,1
50,54,1,-1
57,54,1,1
60,55,1,1
50,55,1,1
63,56,1,-1
50,56,1,-1
57,58,1,1
50,59,1,1
86,59,1,-1
86,61,1,-1
59,61,1,-1
50,62,1,1
63,62,1,1
60,64,1,-1
63,65,1,1
63,66,1,1
50,67,1,-1
50,68,1,1
50,69,1,1
71,69,1,1
50,70,1,-1
75,70,1,-1
73,71,1,1
75,72,1,1
71,72,1,-1
86,72,1,1
73,74,1,1
73,76,1,-1
75,77,1,-1
75,78,1,-1
75,79,1,1
86,80,1,-1
73,80,1,1
73,81,1,-1
82,81,1,1
86,83,1,1
75,83,1,-1
85,84,1,1
82,84,1,-1
82,85,1,1
86,87,1,-1
86,88,1,1
86,89,1,-1
86,90,1,-1
86,91,1,1
86,92,1,-1
86,93,1,-1
75,94,1,-1
90,95,1,-1
82,96,1,1
86,97,1,-1
86,98,1,1
86,99,1,1
