src,tgt,lag,sign
3,0,1,-1
7,0,1,-1
8,0,1,-1
1,0,1,-1
3,1,1,-1
8,2,1,-1
1,2,1,-1
8,4,1,1
1,4,1,-1
3,4,1,-1
3,5,1,-1
1,5,1,-1
8,5,1,1
7,6,1,-1
3,6,1,1
8,6,1,1
1,6,1,-1
46,6,1,-1
28,7,1,1
16,8,1,-1
3,9,1,-1
3,10,1,1
3,11,1,-1
8,12,1,1
3,13,1,1
7,14,1,-1
3,15,1,1
7,17,1,1
3,18,1,-1
7,19,1,1
7,20,1,-1
7,21,1,-1
22,21,1,-1
7,22,1,1
7,23,1,1
28,23,1,-1
7,24,1,-1
7,25,1,-1
7,26,1,1
28,26,1,-1
25,27,1,1
28,29,1,-1
7,29,1,1
28,30,1,-1
7,30,1,1
28,31,1,1
7,32,1,1
38,32,1,1
28,32,1,-1
46,32,1,-1
7,33,1,-1
28,33,1,-1
28,34,1,-1
38,34,1,1
28,35,1,-1
46,36,1,-1
7,36,1,-1
38,36,1,-1
28,36,1,-1
28,37,1,-1
28,39,1,-1
38,39,1,1
45,40,1,-1
28,40,1,1
38,40,1,1
38,41,1,1
28,41,1,-1
28,42,1,-1
46,42,1,1
38,42,1,-1
38,43,1,-1
46,43,1,-1
28,43,1,-1
28,44,1,1
38,44,1,-1
45,44,1,-1
7,47,1,-1
46,47,1,-1
46,48,1,-1
7,48,1,-1
28,49,1,-1
46,49,1,1
