src,tgt,lag,sign
12,0,1,-1
45,0,1,-1
35,0,1,-1
10,1,1,-1
45,1,1,-1
6,1,1,-1
46,2,1,1
45,2,1,1
12,2,1,1
5,3,1,1
12,3,1,-1
7,3,1,-1
7,4,1,-1
50,4,1,-1
29,4,1,-1
45,4,1,-1
1,4,1,-1
52,4,1,-1
59,4,1,-1
21,4,1,-1
82,4,1,-1
76,4,1,1
19,4,1,-1
44,4,1,1
12,4,1,-1
10,4,1,-1
48,4,1,-1
62,4,1,1
11,4,1,1
8,4,1,-1
46,5,1,1
45,5,1,1
21,5,1,1
7,5,1,1
64,5,1,1
95,5,1,-1
45,6,1,1
47,7,1,-1
59,7,1,-1
76,7,1,1
48,7,1,1
22,7,1,1
49,7,1,1
82,7,1,-1
19,7,1,1
52,7,1,1
18,7,1,1
32,7,1,1
41,7,1,-1
21,7,1,-1
86,7,1,1
74,7,1,-1
46,7,1,1
10,8,1,-1
7,8,1,-1
1,9,1,-1
12,9,1,1
7,10,1,1
16,10,1,1
59,11,1,1
16,11,1,-1
29,11,1,-1
49,11,1,-1
87,11,1,-1
7,11,1,-1
1,12,1,-1
5,12,1,-1
18,12,1,-1
45,12,1,1
67,12,1,1
9,13,1,-1
12,13,1,1
64,14,1,-1
42,14,1,-1
22,14,1,1
65,14,1,1
31,14,1,-1
43,14,1,-1
26,14,1,1
5,14,1,1
14,15,1,-1
30,15,1,-1
26,15,1,-1
45,15,1,1
22,15,1,1
20,15,1,1
29,16,1,1
30,16,1,1
48,16,1,1
19,16,1,1
76,16,1,1
7,16,1,1
73,17,1,1
45,17,1,1
82,19,1,1
47,19,1,-1
49,19,1,1
41,19,1,1
76,19,1,-1
52,19,1,-1
56,20,1,1
18,20,1,1
5,20,1,1
30,20,1,-1
3,23,1,1
12,23,1,-1
1,24,1,-1
19,24,1,-1
7,24,1,-1
48,24,1,-1
35,24,1,-1
62,24,1,1
45,24,1,-1
16,25,1,-1
76,25,1,-1
4,25,1,-1
7,25,1,-1
22,26,1,-1
5,26,1,-1
18,26,1,-1
65,26,1,-1
86,26,1,1
95,26,1,1
31,26,1,1
53,26,1,1
95,27,1,-1
26,27,1,1
14,27,1,-1
57,28,1,1
45,28,1,1
14,28,1,-1
48,29,1,-1
32,29,1,1
26,30,1,-1
46,30,1,-1
31,30,1,-1
53,30,1,-1
45,30,1,-1
54,31,1,1
53,31,1,1
48,32,1,1
45,32,1,-1
45,33,1,1
17,33,1,1
12,34,1,1
17,34,1,1
53,35,1,1
31,35,1,1
5,36,1,1
39,36,1,1
46,36,1,-1
14,36,1,1
95,36,1,1
60,36,1,-1
30,36,1,-1
26,37,1,1
14,37,1,1
43,37,1,-1
65,37,1,-1
31,37,1,1
71,38,1,1
29,38,1,-1
7,38,1,1
46,39,1,1
14,39,1,1
26,39,1,-1
95,39,1,-1
19,40,1,-1
41,40,1,-1
47,40,1,-1
52,40,1,-1
35,40,1,-1
7,40,1,-1
82,40,1,1
74,41,1,-1
82,41,1,1
47,41,1,1
72,41,1,-1
52,41,1,1
31,42,1,-1
32,42,1,1
53,42,1,1
22,42,1,-1
26,42,1,-1
45,42,1,-1
53,43,1,1
44,43,1,-1
65,43,1,-1
31,43,1,-1
26,43,1,-1
26,44,1,1
30,44,1,1
62,44,1,1
86,44,1,-1
18,45,1,1
67,45,1,1
22,45,1,-1
22,46,1,1
64,46,1,-1
95,46,1,-1
83,47,1,-1
72,47,1,-1
52,47,1,-1
67,48,1,1
16,50,1,1
26,50,1,1
57,50,1,-1
44,50,1,1
84,51,1,1
39,51,1,1
26,51,1,1
46,51,1,1
91,51,1,-1
14,51,1,-1
82,54,1,1
74,54,1,1
47,54,1,1
41,54,1,1
52,54,1,1
80,55,1,1
4,55,1,1
30,55,1,1
