src,tgt,lag,sign
0,1,1,1
3,2,1,1
1,2,1,-1
1,3,1,1
8,4,1,1
1,4,1,1
6,4,1,1
4,5,1,1
50,6,1,-1
4,7,1,1
6,7,1,1
8,7,1,-1
19,8,1,-1
7,9,1,1
17,9,1,1
8,9,1,-1
8,10,1,1
7,10,1,-1
9,11,1,1
7,11,1,-1
5,12,1,1
6,13,1,-1
13,14,1,-1
14,15,1,1
32,15,1,-1
13,15,1,-1
6,16,1,-1
8,18,1,-1
19,20,1,-1
19,21,1,1
19,22,1,-1
19,23,1,1
33,24,1,-1
28,24,1,-1
23,24,1,1
24,25,1,1
24,26,1,-1
37,26,1,1
24,27,1,-1
40,29,1,1
28,29,1,-1
24,30,1,1
37,31,1,-1
24,31,1,-1
78,32,1,1
47,32,1,-1
52,32,1,1
39,33,1,1
34,33,1,-1
36,33,1,-1
36,34,1,1
55,34,1,-1
33,35,1,1
45,36,1,-1
55,36,1,1
91,36,1,-1
37,38,1,1
39,40,1,-1
44,40,1,1
39,41,1,-1
39,42,1,-1
39,43,1,1
19,46,1,1
89,47,1,1
64,47,1,1
65,47,1,1
50,48,1,-1
47,48,1,1
48,49,1,1
60,50,1,1
54,50,1,1
50,51,1,1
54,51,1,1
54,52,1,1
50,52,1,1
48,53,1,1
70,54,1,1
68,54,1,1
59,55,1,1
55,56,1,-1
66,56,1,-1
73,57,1,-1
54,57,1,1
50,57,1,-1
47,58,1,-1
63,58,1,-1
70,60,1,-1
68,60,1,-1
54,60,1,1
55,61,1,-1
59,61,1,1
60,62,1,-1
96,63,1,-1
65,63,1,-1
64,63,1,1
47,63,1,-1
89,64,1,-1
96,65,1,1
55,66,1,-1
61,67,1,-1
92,68,1,-1
88,68,1,1
64,69,1,1
79,71,1,-1
78,71,1,1
50,71,1,1
52,71,1,-1
68,72,1,1
75,72,1,-1
82,72,1,1
16,72,1,1
70,73,1,-1
50,74,1,-1
76,75,1,-1
88,75,1,-1
68,75,1,1
54,75,1,1
60,75,1,1
92,75,1,1
82,75,1,-1
88,76,1,1
68,76,1,-1
90,76,1,1
79,76,1,-1
71,77,1,1
84,77,1,1
3,77,1,1
83,77,1,1
86,77,1,1
87,77,1,1
99,78,1,-1
71,80,1,1
79,80,1,-1
88,81,1,-1
90,81,1,-1
79,81,1,-1
76,81,1,1
54,82,1,-1
68,82,1,1
84,83,1,1
3,83,1,1
71,83,1,1
87,83,1,1
86,83,1,-1
83,85,1,1
77,85,1,1
79,88,1,1
65,89,1,-1
79,90,1,-1
88,90,1,-1
92,91,1,1
90,91,1,1
88,91,1,-1
88,92,1,1
88,93,1,-1
68,93,1,-1
90,93,1,-1
83,94,1,-1
77,94,1,-1
83,95,1,-1
77,95,1,1
76,97,1,1
88,97,1,-1
77,98,1,-1
83,98,1,1
50,99,1,-1
