src,tgt,lag,sign
79,0,1,-1
1,0,1,-1
16,0,1,1
14,1,1,-1
2,1,1,1
8,3,1,-1
13,3,1,-1
7,3,1,1
0,3,1,1
4,3,1,-1
21,4,1,1
3,5,1,-1
3,6,1,-1
8,7,1,-1
10,7,1,-1
3,9,1,-1
8,10,1,-1
9,11,1,1
11,12,1,1
14,13,1,1
16,14,1,1
21,14,1,1
19,14,1,1
14,15,1,-1
74,16,1,1
16,17,1,-1
16,18,1,1
16,19,1,1
21,19,1,1
24,19,1,1
16,20,1,1
30,20,1,1
29,21,1,-1
19,22,1,-1
68,22,1,-1
21,22,1,-1
24,22,1,1
49,22,1,-1
19,23,1,-1
27,23,1,-1
31,23,1,1
58,23,1,1
21,23,1,1
37,24,1,-1
22,25,1,1
65,25,1,1
30,25,1,1
55,25,1,1
92,25,1,-1
82,25,1,1
56,25,1,1
54,25,1,1
36,25,1,1
90,25,1,-1
27,25,1,-1
46,25,1,-1
78,25,1,-1
42,25,1,-1
16,25,1,1
24,25,1,1
66,25,1,1
19,26,1,1
16,26,1,1
53,27,1,1
80,27,1,1
59,27,1,1
41,27,1,1
55,27,1,-1
58,27,1,-1
29,27,1,-1
71,27,1,-1
63,27,1,1
39,27,1,-1
55,28,1,-1
21,28,1,1
64,28,1,1
27,28,1,1
32,28,1,1
56,30,1,1
53,30,1,1
29,31,1,-1
39,31,1,-1
38,32,1,-1
46,32,1,-1
27,32,1,-1
64,32,1,-1
55,32,1,-1
27,33,1,-1
21,33,1,1
44,34,1,-1
53,34,1,-1
35,34,1,-1
47,34,1,-1
27,34,1,-1
64,34,1,1
56,34,1,-1
84,34,1,-1
83,34,1,-1
50,34,1,-1
78,34,1,1
74,34,1,-1
67,34,1,-1
92,34,1,-1
32,34,1,-1
80,34,1,-1
45,34,1,-1
46,34,1,-1
37,34,1,-1
85,34,1,1
36,34,1,1
90,34,1,1
63,34,1,1
25,34,1,1
27,35,1,-1
48,36,1,1
53,36,1,1
59,36,1,1
80,36,1,1
42,36,1,-1
37,36,1,-1
54,36,1,-1
56,36,1,-1
41,36,1,-1
71,36,1,-1
39,36,1,-1
58,36,1,1
27,36,1,-1
96,36,1,-1
55,36,1,-1
83,37,1,-1
41,37,1,1
54,37,1,1
63,37,1,1
48,37,1,1
56,37,1,1
42,38,1,1
55,38,1,1
27,38,1,1
29,40,1,1
49,40,1,1
21,40,1,-1
31,40,1,-1
23,40,1,-1
55,41,1,1
56,41,1,1
71,42,1,1
55,43,1,-1
24,43,1,-1
36,43,1,1
31,43,1,-1
56,43,1,-1
80,44,1,1
78,44,1,1
65,44,1,1
98,44,1,-1
56,44,1,-1
73,44,1,-1
63,44,1,-1
50,44,1,-1
85,44,1,1
81,44,1,-1
47,44,1,-1
36,44,1,-1
37,44,1,-1
53,44,1,1
83,44,1,1
61,44,1,1
95,44,1,1
46,44,1,1
47,45,1,1
50,45,1,1
90,45,1,1
53,45,1,1
75,45,1,-1
55,45,1,1
27,45,1,1
37,45,1,-1
95,45,1,-1
87,45,1,1
57,45,1,1
84,45,1,1
46,45,1,1
92,46,1,-1
56,46,1,-1
80,46,1,-1
37,46,1,-1
27,46,1,-1
54,46,1,1
74,46,1,1
64,46,1,-1
78,46,1,1
36,46,1,-1
83,46,1,-1
