ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49
0.4887484,0.6118631,0.06864878,0.8458366,0.5968987,0.6719664,0.7891621,0.5112198,0.6238797,0.7083089,0,0.6685689,0.07006563,0.3563238,0.1308166,0.2436197,0.6796759,0.6330066,0.777625,0.5818333,0,0.3900525,0.1948604,0.2083875,0.1793071,0.2846819,0.7934573,0.09021116,0.1575745,0.4993648,0.7197204,0.3484356,0.5168773,0.4570285,0.5373443,0.165709,0.3936635,0.5810072,0.6703551,0.6024784,0.1775644,0.4614321,0.6770455,0,0.2720606,0.7615178,0.7945341,0.7707367,0.8553271,0.006974108
0.5014827,0.6090724,0.1351893,0.685698,0.6290657,0.6251004,0.6002769,0.5898801,0.5969992,0.6201972,0.09894484,0.4686767,0.1273024,0.3646647,0.285763,0.2623445,0.6730909,0.6623213,0.8149783,0.5566367,0,0.4100907,0.1420863,0.2894557,0.3123621,0.2822698,0.8462853,0.1006963,0.1824471,0.5707929,0.6425774,0.2062643,0.4511405,0.4841537,0.5657045,0.0583721,0.3708673,0.6294584,0.5716297,0.5516275,0.24096,0.5807466,0.658895,0.1453282,0.4178446,0.8393536,0.6991094,0.8548306,0.7395352,0.107602
0.6452294,0.5572407,0.1901528,0.5168736,0.6373952,0.6323578,0.4037288,0.6380482,0.5953272,0.6333412,0.08482394,0.3158984,0.1866529,0.3504745,0.4211395,0.2283674,0.8079547,0.6348737,0.8817615,0.635442,0.02165918,0.3687517,0.2092177,0.2488334,0.3327588,0.1689088,0.9288312,0.2704512,0.1895916,0.6478978,0.4871557,0.3294803,0.3029023,0.5243424,0.5387119,0.1175019,0.4448298,0.6365448,0.5450373,0.5296493,0.3102641,0.5867097,0.8191239,0.07958154,0.5072976,0.7872899,0.5763744,0.7665978,0.6074414,0.3234286
0.6676096,0.5934896,0.2480997,0.4489563,0.7401666,0.6594437,0.3019934,0.5962653,0.5800037,0.6405841,0.1137602,0.2604038,0.2494841,0.4712667,0.4022397,0.2131956,0.7775497,0.705038,0.919459,0.5553452,0.04336913,0.4398425,0.1503934,0.2357176,0.3846836,0.1615846,0.87101,0.2983334,0.1557904,0.5985833,0.5291299,0.369423,0.3583841,0.4016361,0.5323337,0.04811498,0.3889882,0.7010553,0.4923683,0.4726297,0.2714577,0.545047,0.7904218,0.207148,0.5949011,0.7828566,0.4195184,0.8836909,0.6020737,0.2559554
0.6786785,0.5140882,0.3443602,0.3693748,0.7674367,0.6365701,0.2589647,0.6010093,0.4677502,0.5540715,0.1427414,0.3023722,0.1844412,0.2709601,0.6423565,0.2000366,0.8246038,0.7886851,0.7887042,0.5475995,0.03580342,0.3727219,0.1517821,0.2919896,0.4784229,0.115086,0.8674235,0.2034319,0.166981,0.696727,0.4907503,0.4972142,0.2946507,0.4731718,0.6743676,0.09359209,0.3428376,0.8133627,0.5536609,0.5000288,0.335122,0.7315386,0.7626351,0.08994352,0.5428024,0.7281491,0.3997117,0.8145216,0.5611297,0.2356258
0.7492669,0.5621816,0.3085332,0.2563705,0.7764805,0.5121086,0.1862394,0.5890556,0.5151447,0.4993605,0.2082216,0.3178998,0.1916392,0.3166771,0.6141756,0.1581107,0.7851872,0.8023675,0.824646,0.5387471,0.1411252,0.4398145,0.08476392,0.3934495,0.5354433,0.1486621,0.8632987,0.2540209,0.1136267,0.7960674,0.5274689,0.5126084,0.2597509,0.4177648,0.6129857,0.02360307,0.2917654,0.692022,0.3500441,0.4960577,0.2658858,0.7941356,0.7916326,0.1719257,0.5742869,0.8318459,0.3610502,0.8047832,0.5796435,0.340972
0.7647775,0.4506935,0.3373474,0.2755898,0.8294834,0.5136487,0.1764024,0.6692921,0.4296881,0.4925023,0.1436811,0.226983,0.2301032,0.2430034,0.6330897,0.03578673,0.8635185,0.8440967,0.7846072,0.5583724,0,0.4684828,0.1002916,0.4292477,0.6189313,0.08461172,0.9021513,0.334559,0.1120652,0.7287325,0.6361529,0.6200489,0.1963195,0.3924563,0.6935363,0.03388064,0.317473,0.7392104,0.4079962,0.4667847,0.2334923,0.7576844,0.8469288,0.1639912,0.5988754,0.81204,0.3734324,0.8253958,0.6507177,0.424581
0.781693,0.5474604,0.2838971,0.1718999,0.8167971,0.4482766,0.143307,0.7208971,0.4898145,0.540113,0.1751538,0.1718657,0.2397985,0.1572738,0.5918521,0.08511189,0.8486486,0.8202268,0.8286037,0.4871317,0.04176336,0.3949324,0.1655729,0.4023414,0.6440575,0.05490289,0.8753779,0.3163022,0,0.794364,0.6113672,0.6033049,0.225563,0.4610186,0.6258249,0.04374566,0.3462672,0.7623418,0.405799,0.4421028,0.2257843,0.7967112,0.7967377,0.2313401,0.5603182,0.7848089,0.3555677,0.8381135,0.5486919,0.4530961
0.8498014,0.5967778,0.3131037,0.1062792,0.7705106,0.3227565,0.1545843,0.7168397,0.4457476,0.5091218,0.2158599,0.2166466,0.282809,0.135412,0.6448584,0.08723395,0.8516715,0.8906815,0.9213834,0.5326656,0.1210173,0.4578604,0.1814707,0.410462,0.6553952,0.04755542,0.8448392,0.3381525,0.05962164,0.8413171,0.658458,0.6692598,0.2258888,0.3666773,0.6448598,0.01216954,0.2747064,0.7958241,0.3697926,0.4345357,0.2863463,0.8132823,0.8381792,0.2830282,0.6236357,0.8313904,0.2957205,0.780701,0.4914144,0.4582656
0.786187,0.5214743,0.3159537,0.2305102,0.8814243,0.2456146,0.1464491,0.647118,0.5057051,0.5395256,0.2303111,0.2171375,0.2615829,0.2220655,0.6576613,0.01860098,0.9407701,0.8408216,0.8530048,0.5514778,0.04109959,0.4108635,0.2710916,0.448009,0.7066969,0.04181928,0.8126097,0.3020043,0.07219143,0.7967382,0.740078,0.7672366,0.2417394,0.359805,0.6623673,0.03585582,0.3063273,0.7848176,0.3700471,0.4161104,0.2727144,0.7401967,0.8429469,0.2496993,0.5512048,0.7801837,0.3021001,0.7893912,0.5439423,0.4459085
0.7748069,0.4884589,0.3585076,0.1515058,0.825156,0.315012,0.06757555,0.6255851,0.3909637,0.5791711,0.2512084,0.2628914,0.2347044,0.131303,0.6236636,0.1173929,0.8831947,0.8421973,0.8118923,0.4524337,0.04817385,0.4203124,0.3165327,0.404945,0.6826677,0.06028349,0.8519286,0.3612109,0.03103934,0.835885,0.7240551,0.7159545,0.2372414,0.3913812,0.663572,0.0348396,0.2952438,0.8373352,0.4366656,0.5147767,0.2295187,0.8084591,0.8808265,0.2470938,0.5924733,0.7382665,0.3213567,0.8450559,0.5056447,0.4827021
0.8851345,0.3953941,0.4422149,0.106621,0.9091324,0.2543685,0.0552962,0.6464188,0.4911788,0.5871883,0.1517825,0.308433,0.2505193,0.09455296,0.5711982,0.1357302,0.8936933,0.8713413,0.8608043,0.4367827,0.1046222,0.3779382,0.3173946,0.3770131,0.7877605,0.1338402,0.7945442,0.4743987,0.03564227,0.7482083,0.6848869,0.7854275,0.2288637,0.3466866,0.643271,0.005008127,0.273858,0.9053615,0.361156,0.4013655,0.2460901,0.874925,0.9355726,0.3322313,0.5733356,0.8824537,0.2620722,0.807999,0.5187097,0.4327562
0.8916292,0.4264889,0.3762744,0.08863936,0.9291395,0.2068651,0.01431991,0.621493,0.4215468,0.6197581,0.2890845,0.2334779,0.1823464,0.07566498,0.6380314,0.1051436,0.882006,0.8445815,0.8805928,0.4077991,0.06978526,0.462029,0.4431471,0.446958,0.7392241,0.1108984,0.8728082,0.2576997,0.09420117,0.7575403,0.8039615,0.7503814,0.2912682,0.3367197,0.6527945,0.05322923,0.1987059,0.8769634,0.3815345,0.3833764,0.2667819,0.8600991,0.9105148,0.3574609,0.6461422,0.7582543,0.3157983,0.8810198,0.5470619,0.4883257
