src,tgt,lag,sign
12,0,1,1
3,0,1,1
22,0,1,1
23,0,1,-1
2,0,1,-1
0,1,1,1
12,2,1,-1
3,2,1,-1
12,3,1,1
14,3,1,-1
3,4,1,-1
3,5,1,1
7,5,1,-1
12,6,1,-1
3,6,1,-1
14,6,1,1
9,7,1,1
34,7,1,-1
48,7,1,1
3,7,1,1
14,7,1,1
22,8,1,-1
16,8,1,1
12,8,1,-1
10,8,1,-1
15,8,1,-1
3,8,1,-1
29,8,1,-1
9,8,1,1
28,8,1,1
13,8,1,-1
7,8,1,-1
34,8,1,1
11,8,1,-1
18,9,1,-1
7,10,1,1
11,10,1,1
14,10,1,-1
16,10,1,1
9,11,1,-1
7,11,1,1
3,11,1,1
18,11,1,-1
14,11,1,-1
18,13,1,1
9,13,1,1
25,14,1,-1
41,15,1,1
29,15,1,1
28,15,1,-1
47,15,1,-1
43,15,1,-1
9,15,1,1
14,15,1,-1
14,16,1,1
25,16,1,1
11,16,1,-1
33,17,1,-1
22,17,1,1
14,17,1,1
7,17,1,1
3,17,1,-1
27,17,1,-1
28,17,1,1
14,18,1,-1
14,19,1,1
11,19,1,1
43,19,1,1
7,19,1,-1
16,20,1,-1
33,20,1,1
10,20,1,-1
7,20,1,-1
49,20,1,-1
44,20,1,-1
48,21,1,1
7,21,1,1
10,21,1,-1
45,22,1,-1
14,22,1,1
45,23,1,-1
9,23,1,-1
41,23,1,-1
14,24,1,-1
8,24,1,-1
25,24,1,-1
34,25,1,1
35,26,1,1
25,26,1,1
14,26,1,1
15,26,1,-1
47,26,1,1
31,26,1,-1
25,27,1,1
42,27,1,1
14,27,1,-1
18,28,1,-1
29,28,1,-1
43,28,1,-1
47,28,1,-1
14,28,1,-1
43,29,1,-1
14,29,1,-1
41,29,1,-1
47,29,1,-1
15,30,1,1
28,30,1,-1
29,30,1,-1
47,30,1,-1
40,30,1,1
12,31,1,1
3,31,1,1
13,31,1,1
22,31,1,1
7,32,1,-1
28,32,1,-1
14,32,1,-1
29,32,1,-1
40,32,1,1
11,33,1,-1
14,33,1,-1
7,33,1,1
16,33,1,-1
10,33,1,-1
28,35,1,-1
25,35,1,-1
29,35,1,1
15,35,1,1
40,35,1,1
18,35,1,1
14,35,1,-1
42,35,1,-1
26,36,1,-1
35,36,1,-1
25,36,1,1
29,37,1,1
47,37,1,1
30,37,1,1
13,37,1,-1
9,37,1,-1
15,37,1,1
10,38,1,1
44,38,1,1
16,38,1,-1
7,38,1,-1
13,38,1,1
48,38,1,-1
33,38,1,-1
48,39,1,-1
8,39,1,-1
10,39,1,1
7,39,1,-1
16,39,1,1
15,40,1,-1
43,40,1,-1
28,40,1,-1
29,40,1,-1
14,40,1,-1
47,40,1,1
25,42,1,-1
14,42,1,1
33,44,1,-1
34,44,1,1
41,45,1,1
40,46,1,-1
41,46,1,-1
29,46,1,-1
15,46,1,-1
14,47,1,-1
9,47,1,-1
14,48,1,-1
48,49,1,-1
7,49,1,-1
