ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99
0.152132,0.05465604,0.04711906,0.2811441,0.4272621,0.03228582,0.1469529,0.5944605,0.3679833,0.3966023,0.7714182,0.1208723,0.1391084,0.4961491,0.04625145,0.5307195,0.4127217,0.4365622,0.631418,0.8320741,0.6756083,0.3075012,0.5778228,0.397283,0.1046577,0.5463375,0.357143,0.6323037,0.2130382,0.1646979,0.01947408,0.621206,0.5579959,0.4190428,0.3273261,0.004285756,0.2851899,0.3219887,0.5622416,0.6544778,0.7793626,0.3414215,0.2803351,0.288637,0.8537806,0.4829642,0.5202916,0.6791382,0.5922151,0.590374,0.10385,0.8236052,0.8043627,0.1132027,0.3540987,0.3526397,0.564752,0.4767433,0.2626198,0.7827533,0.6090063,0.5753019,0.7564363,0.6608203,0.08295274,0.07764512,0.4148575,0.2740238,0.05031854,0.4773528,0.6683891,0.8116823,0.4652439,0.376289,0.3908336,0.113128,0.3013141,0.6679361,0.3975277,0.4284829,0,0.5747921,0.7522411,0.3790786,0.5684012,0.3338333,0.6312289,0.8235659,0.7373265,0.4762678,0.415558,0.52694,0.7061589,0.3459145,0.7976882,0.5112132,0.5908666,0.1357979,0.3936732,0.3984774
0.2012258,0.08574432,0.2040171,0.3105184,0.5066611,0.06252726,0.2485668,0.5458818,0.2944908,0.5496952,0.7026246,0.236002,0.2019802,0.5927332,0.1653841,0.6716098,0.6146983,0.5728136,0.6416645,0.83145,0.6692008,0.3164178,0.6600326,0.4681017,0.1027707,0.5572848,0.4211981,0.5802236,0.2662647,0.2893341,0.1707179,0.8119326,0.5508018,0.3775273,0.1721318,0.1839728,0.3535975,0.4656455,0.6490795,0.7310996,0.8846776,0.5137501,0.4421923,0.2914558,0.8144944,0.5768738,0.6425632,0.610172,0.6073726,0.7283366,0.05532163,0.7144877,0.7352107,0.1211644,0.4094355,0.327203,0.546869,0.5189022,0.2299382,0.560197,0.4336535,0.4983849,0.6219897,0.7420215,0.1391346,0.2526875,0.4643753,0.3448445,0.1069272,0.5686,0.8184173,0.7500693,0.528822,0.3360617,0.408484,0.07678215,0.1622991,0.6456035,0.6531864,0.4856336,0.005208444,0.4654343,0.6919931,0.3373403,0.6689045,0.4231973,0.7125187,0.8274838,0.6064025,0.4008291,0.353668,0.4342744,0.734836,0.4582911,0.6948632,0.6775192,0.382422,0.2399386,0.4882581,0.3595888
0.1932235,0.02080837,0.3213477,0.2627331,0.56936,0,0.3572086,0.7189191,0.1895957,0.6347919,0.5746461,0.252324,0.2460499,0.5865648,0.1834475,0.7032717,0.7261569,0.6244565,0.5759132,0.869782,0.7228479,0.2819132,0.8120409,0.5393887,0.1740643,0.4445392,0.3946976,0.6129554,0.3176436,0.5042704,0.2118195,0.711643,0.5124355,0.4695499,0.2964301,0.2703771,0.1777381,0.5402803,0.6637648,0.8106661,0.7749274,0.4548379,0.475174,0.3773159,0.8461762,0.5780131,0.6496552,0.5434767,0.6931533,0.6666651,0.100702,0.5895364,0.5669157,0.2667511,0.4135574,0.4185736,0.4909779,0.4470625,0.1506644,0.5044702,0.4249843,0.5937625,0.4643993,0.6834658,0.2731456,0.416379,0.4949891,0.3347249,0.1597064,0.5852898,0.7206272,0.6930173,0.6080618,0.3245157,0.4201038,0.1776377,0.2135722,0.6870083,0.7510369,0.5218458,0,0.3668565,0.6840484,0.3677639,0.7267061,0.6013578,0.7343816,0.788797,0.5749991,0.2588812,0.2447404,0.4130641,0.8278258,0.4920864,0.6901349,0.6571146,0.3114259,0.276882,0.5669294,0.3742226
0.1788285,0.03148804,0.2861308,0.2678607,0.6658746,0.007736501,0.3269387,0.6158839,0.121358,0.6100766,0.5701441,0.3350238,0.2763083,0.5751281,0.1940297,0.8001225,0.7707562,0.7242606,0.5981458,0.790971,0.8031387,0.313726,0.8362339,0.6187357,0.3039064,0.5199064,0.4743417,0.5634471,0.312088,0.3912192,0.4430616,0.7950438,0.553058,0.4697544,0.2520002,0.2767896,0.1633191,0.6121849,0.7646783,0.8367937,0.7680852,0.5782711,0.5630617,0.2881894,0.8288618,0.697583,0.6687606,0.5762627,0.7287653,0.761039,0.04956054,0.5011665,0.6244993,0.292988,0.4100198,0.4094458,0.4289334,0.4770651,0.08259701,0.3284143,0.2725917,0.4826974,0.4634573,0.7704418,0.2212832,0.5678968,0.4144228,0.2892453,0.1915507,0.5851458,0.7911613,0.6468133,0.6492507,0.280885,0.4187815,0.2683833,0.1302303,0.6392455,0.7649698,0.6704834,0.05227727,0.305579,0.6608096,0.2656581,0.6924805,0.5774248,0.7404231,0.7906843,0.5848722,0.2788837,0.3001277,0.3466192,0.9014144,0.4461757,0.5558973,0.6613411,0.2384474,0.3566291,0.738462,0.4033737
0.201378,0.02061414,0.2754833,0.3055246,0.716007,0.02644135,0.3329034,0.7279032,0.1575958,0.6997533,0.5865964,0.2794964,0.3356307,0.693511,0.3711382,0.8038403,0.8589876,0.7730261,0.5872357,0.8610911,0.8062412,0.4177895,0.824158,0.6356376,0.3581651,0.5262574,0.5253398,0.5542873,0.3718225,0.4653163,0.4686343,0.7996299,0.443084,0.4488563,0.3571524,0.2144731,0.1377749,0.6313841,0.7780329,0.8416859,0.8178288,0.6653889,0.6473558,0.2629946,0.7589201,0.7451068,0.7426602,0.551084,0.7386008,0.8011823,0.02753709,0.4853284,0.563775,0.4084782,0.4116074,0.3775775,0.491616,0.4129562,0.1268513,0.3737665,0.1448975,0.44098,0.4109975,0.8483226,0.2742389,0.6671198,0.4251833,0.3659354,0.3295752,0.5595649,0.6704255,0.5085499,0.6105285,0.2757776,0.3744711,0.294947,0.1799652,0.5378485,0.8198687,0.7600859,0.000548,0.251456,0.7971002,0.1870259,0.8012345,0.6819193,0.6996924,0.8805667,0.4859463,0.1747034,0.1870838,0.4034322,0.8770111,0.5314078,0.5278956,0.7213206,0.2302175,0.2663845,0.6828694,0.4898605
0.1688592,0.04598841,0.30441,0.3141691,0.7360723,0.0375316,0.4669525,0.7417756,0.009146,0.716477,0.5317042,0.3082092,0.3254511,0.7893053,0.2993076,0.7558277,0.8464049,0.8826876,0.522391,0.7678723,0.7812997,0.4780811,0.8018422,0.6690404,0.3252723,0.4332916,0.5200251,0.4897797,0.413789,0.3739367,0.4841047,0.7500147,0.4931536,0.4823999,0.3446362,0.3119734,0.1688121,0.6700079,0.7607468,0.7879303,0.9297926,0.6245657,0.6401911,0.2713622,0.7751914,0.6850728,0.7495967,0.4899607,0.746845,0.7759721,0.07619452,0.4465253,0.5364186,0.4382964,0.4269876,0.436442,0.5234492,0.4401885,0,0.246113,0.186853,0.4462842,0.363274,0.78364,0.2559135,0.7260481,0.4444968,0.3915605,0.332257,0.5246084,0.7331184,0.5679025,0.6010266,0.3509264,0.4593919,0.34156,0.1105011,0.5068099,0.8434194,0.6672559,0.08599037,0.1884231,0.7469701,0.162114,0.7833994,0.6674077,0.7903259,0.8263469,0.5533496,0.1646303,0.2624943,0.3819869,0.7542422,0.5168221,0.4952608,0.7591065,0.1834221,0.4161716,0.6965189,0.3860334
0.2537277,0.08266368,0.3723224,0.2655597,0.6617856,0.06846976,0.4103143,0.7967834,0.05279342,0.6865969,0.4763736,0.3457082,0.352305,0.7418857,0.2706858,0.7559118,0.8277355,0.7836425,0.4940125,0.8361167,0.7615116,0.4558941,0.8884735,0.7062194,0.3731097,0.4660985,0.6081454,0.5661752,0.4429778,0.3457847,0.5436742,0.814464,0.4765486,0.4195771,0.4369796,0.2912326,0,0.7109354,0.7461625,0.8117044,0.8174561,0.7317153,0.6515654,0.3225579,0.7583089,0.7143639,0.7609708,0.5423408,0.7088553,0.7181793,0.07111192,0.4976185,0.4810397,0.4524035,0.3939497,0.4632787,0.428466,0.5144179,0.1060938,0.2009185,0.1892868,0.4155124,0.3536392,0.7696934,0.3557492,0.7125203,0.4041262,0.4368775,0.3096143,0.4811932,0.7059549,0.5777875,0.4985127,0.3953563,0.4004604,0.3077092,0.1915586,0.6127659,0.8165681,0.7448063,0.003126829,0.2025795,0.7084416,0.1044842,0.8046352,0.7322723,0.7975315,0.7936744,0.6212533,0.09223808,0.2329036,0.3921564,0.7665418,0.5317997,0.4660031,0.7625118,0.1243896,0.3995701,0.7840878,0.4533669
0.1266343,0.008233446,0.3944498,0.2782892,0.8063221,0.0198653,0.3409807,0.7723273,0.009009444,0.6666663,0.5334564,0.3939058,0.4754163,0.7380888,0.215672,0.8906445,0.8915709,0.8096913,0.504276,0.7907694,0.6886818,0.5186312,0.8219847,0.7310536,0.3798354,0.4522607,0.6261679,0.5952597,0.3291738,0.2437782,0.5353727,0.8910929,0.438132,0.452159,0.3903858,0.1776878,0.0705488,0.6522041,0.8059896,0.8466452,0.8554484,0.6947299,0.6866141,0.2728278,0.8756918,0.7806598,0.7423856,0.4998924,0.8044066,0.8352426,0.08404397,0.4418559,0.4206727,0.3852535,0.4166652,0.4525918,0.4437632,0.4812845,0.05406692,0.1708825,0.118595,0.4981055,0.3847216,0.7592254,0.2280917,0.7052095,0.4572349,0.3835498,0.2589074,0.4446527,0.6172392,0.4597127,0.5500099,0.372394,0.4180534,0.3526599,0.2032394,0.5072924,0.7963821,0.7418357,0,0.2233479,0.7001601,0.1185422,0.8369662,0.7242664,0.7693633,0.8566533,0.5519256,0.1080942,0.1540826,0.4775685,0.8183991,0.4950275,0.4731158,0.8420697,0.09498236,0.3505712,0.8405661,0.4293996
0.1592705,0,0.418463,0.3632415,0.7997482,0,0.4126153,0.7785848,0.05350581,0.7745205,0.4870412,0.3605217,0.4297608,0.8766784,0.2551365,0.8510576,0.9081296,0.8152301,0.5573354,0.7817052,0.7815652,0.4349607,0.846552,0.7366258,0.4189894,0.4120528,0.5986109,0.4760064,0.4762241,0.2675232,0.5936687,0.8196849,0.4455069,0.4160529,0.3932597,0.08629208,0.05962059,0.7739519,0.7655378,0.865271,0.847789,0.7749728,0.6704483,0.2738507,0.8840861,0.7599421,0.8270509,0.5475047,0.8049892,0.823038,0.1122829,0.39813,0.5219135,0.4055602,0.4255192,0.4480747,0.5136543,0.5400099,0.09597758,0.1442657,0.1390993,0.5303791,0.418165,0.8358182,0.3560726,0.7623887,0.3976265,0.3426588,0.3140495,0.3975705,0.5869872,0.4705028,0.4355829,0.3748742,0.3686774,0.3135701,0.1130308,0.4465287,0.868367,0.7675112,0.034159,0.2023407,0.7742065,0.06233523,0.7188169,0.7677543,0.731764,0.7561302,0.5937242,0.07191066,0.1539598,0.4888815,0.8272825,0.5049176,0.4558372,0.7827139,0.09278444,0.3851909,0.8200805,0.4760836
0.2341956,0.02868054,0.4579449,0.3485818,0.8029894,0,0.4394803,0.7726875,0.02712231,0.7999773,0.445384,0.4053317,0.4700966,0.7877347,0.1328183,0.8482959,0.9016417,0.850632,0.4644815,0.8681239,0.8214316,0.3762465,0.7868587,0.7214721,0.3818859,0.4844092,0.6066641,0.5247031,0.4516965,0.2874532,0.6143314,0.847999,0.4586458,0.4223716,0.3657016,0.1917772,0,0.7361648,0.8006762,0.8553545,0.7541568,0.7343553,0.7621208,0.2876837,0.8829189,0.7657197,0.8067833,0.4806398,0.8087587,0.8900024,0.04181593,0.4277143,0.449122,0.3739519,0.4250158,0.5113587,0.4226995,0.5438607,0.02870309,0.144021,0.1356577,0.4674348,0.4904151,0.7622244,0.2966263,0.7024023,0.5095887,0.3344505,0.3735713,0.435621,0.6277971,0.4823308,0.5409852,0.4758473,0.4979809,0.3741871,0.1214577,0.4652847,0.8405008,0.8807737,0.04541891,0.1132937,0.7677352,0.1214247,0.8425009,0.8320189,0.7554549,0.8222964,0.6863412,0.09157267,0.1746199,0.5104213,0.8856646,0.4672232,0.4689987,0.8254268,0.1171413,0.3459113,0.8622438,0.4855832
