src,tgt,lag,sign
4,0,1,-1
1,0,1,1
19,1,1,-1
1,2,1,1
15,3,1,-1
4,3,1,-1
1,3,1,1
4,5,1,-1
4,6,1,1
4,7,1,1
4,8,1,-1
4,9,1,1
4,10,1,-1
4,11,1,1
4,12,1,1
4,13,1,1
15,14,1,1
1,14,1,1
16,14,1,1
15,17,1,1
15,18,1,-1
22,20,1,1
15,20,1,1
19,21,1,-1
30,23,1,1
15,23,1,1
22,24,1,-1
15,25,1,-1
31,26,1,1
15,26,1,-1
25,27,1,-1
15,28,1,-1
78,29,1,-1
30,29,1,-1
15,29,1,-1
31,32,1,-1
15,33,1,1
30,34,1,1
30,35,1,-1
37,36,1,-1
4,36,1,1
38,36,1,-1
4,39,1,1
48,39,1,1
78,39,1,1
40,39,1,1
78,41,1,-1
40,41,1,1
4,41,1,1
42,41,1,1
48,41,1,1
44,43,1,1
15,43,1,-1
46,44,1,1
15,45,1,1
85,45,1,1
46,47,1,1
78,48,1,1
46,49,1,1
46,50,1,1
48,50,1,-1
46,51,1,-1
53,52,1,1
48,52,1,1
48,53,1,1
1,54,1,-1
48,54,1,-1
54,55,1,-1
59,55,1,1
59,56,1,-1
54,56,1,1
54,57,1,-1
59,58,1,-1
54,58,1,-1
1,59,1,1
54,59,1,-1
59,60,1,-1
54,61,1,1
59,61,1,1
59,62,1,-1
59,63,1,1
59,64,1,1
59,65,1,1
68,66,1,-1
59,66,1,-1
59,67,1,-1
68,67,1,-1
15,68,1,1
54,69,1,1
59,69,1,1
68,70,1,-1
68,71,1,-1
68,72,1,-1
68,73,1,1
68,74,1,1
68,75,1,1
85,76,1,1
78,76,1,1
44,76,1,-1
68,77,1,-1
78,79,1,1
78,80,1,-1
78,81,1,-1
84,82,1,1
78,82,1,1
78,83,1,-1
85,86,1,1
92,87,1,-1
78,87,1,1
90,88,1,-1
92,88,1,-1
78,88,1,1
90,89,1,-1
78,89,1,-1
92,90,1,-1
90,91,1,-1
92,91,1,-1
92,93,1,-1
98,93,1,1
78,93,1,-1
85,94,1,1
85,95,1,1
92,96,1,-1
92,97,1,1
92,99,1,-1
