ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49
0.1433286,0.6634775,0.6760793,0.3120085,0.1695122,0.2515802,0.8807129,0.5948135,0.4812846,0.789391,0.2575271,0.4915752,0.6748226,0.4694518,0.2806468,0.2353606,0.2719969,0.6546625,0.3943213,0.7847663,0.353467,0.6718379,0.3896062,0.6297514,0.6228449,0.4973574,0.8652179,0.45505,0.3089966,0.7631866,0.05073987,0.6851615,0.5348916,0.5311176,0.6789027,0.09848636,0.7061158,0.7136165,0.4632801,0.2857717,0.514783,0.7250288,0.4472683,0.6329417,0.5694333,0.7801201,0.5487272,0.02098035,0.4036721,0.2176214
0.2122014,0.644013,0.693886,0.3143608,0.2791078,0.3548216,0.8408969,0.498792,0.4226847,0.7840573,0.3741134,0.4028858,0.7313386,0.4587978,0.1534002,0.3525802,0.5753374,0.6605378,0.3984462,0.8314236,0.4259965,0.7335513,0.3036346,0.6200497,0.4918737,0.6074262,0.6586472,0.5322056,0.3652914,0.6408262,0.1072731,0.6298952,0.667089,0.5698903,0.5895792,0.07053567,0.6362934,0.7851755,0.5538681,0.2768744,0.4712069,0.8361868,0.3810216,0.5735234,0.5166196,0.7135651,0.5059458,0.1707626,0.416238,0.1360436
0.1130374,0.5903918,0.8392384,0.2495422,0.3738613,0.2958568,0.7252103,0.6066742,0.5137265,0.8489172,0.3993151,0.3338648,0.7441072,0.4746884,0.05490597,0.3496811,0.692696,0.6760032,0.4287166,0.99305,0.4454907,0.7412755,0.2575102,0.6284834,0.4106494,0.6066176,0.5856014,0.4148345,0.4449384,0.4728028,0.1522354,0.5698856,0.6557734,0.6091387,0.519291,0.2062074,0.5110369,0.7920684,0.5759788,0.2991982,0.3660364,0.8611822,0.3501462,0.6658685,0.5219396,0.8239981,0.4545996,0.1094383,0.3715722,0.2461651
0.1126793,0.5315054,0.7422467,0.2014781,0.2946765,0.4391145,0.6959594,0.5028386,0.4876479,0.8735864,0.3992814,0.1822018,0.769391,0.482332,0.1418348,0.1755993,0.4503165,0.6990396,0.3617665,0.9069127,0.4713303,0.7605303,0.2495624,0.5947003,0.3305111,0.7140018,0.5680093,0.5056605,0.4101226,0.414424,0.2290304,0.49811,0.673108,0.6546668,0.4452269,0.2488964,0.3578566,0.8240744,0.5079306,0.3854284,0.292695,0.7603632,0.2335547,0.5879629,0.5843875,0.884499,0.31036,0.2266346,0.427068,0.1968736
0.1740215,0.5533369,0.7852646,0.298618,0.3572768,0.3248424,0.8264002,0.5394927,0.4955817,0.8339533,0.5757381,0.2720335,0.8060387,0.468427,0.1505625,0.2985731,0.3744023,0.7524624,0.3987722,0.8584005,0.4398794,0.7341245,0.2196974,0.5293147,0.3249874,0.7222267,0.5417392,0.3927697,0.4608057,0.3126474,0.2782592,0.3953179,0.7498225,0.5294605,0.468451,0.2428285,0.3383829,0.8240477,0.4515109,0.4042977,0.3090659,0.7547197,0.1991675,0.5412105,0.4459626,0.793796,0.273299,0.2968807,0.4250326,0.1889668
0.1134538,0.4786969,0.7089449,0.2184146,0.3801798,0.3868617,0.8110437,0.5866949,0.4078471,0.755102,0.5977081,0.1790649,0.9182694,0.5214037,0.05376919,0.2379329,0.2765309,0.716825,0.3936829,0.875797,0.4457218,0.7666451,0.2862851,0.629299,0.211774,0.776752,0.4175,0.3601443,0.4383395,0.298524,0.3984031,0.3522277,0.7080964,0.5337783,0.3213328,0.2701951,0.3225517,0.8772122,0.4161648,0.3393154,0.2320161,0.8326111,0.2089037,0.4777031,0.4721759,0.8168892,0.2872241,0.2703584,0.4501485,0.203589
0.1043459,0.582161,0.8224737,0.2644843,0.3819334,0.3407769,0.7655165,0.5264313,0.4433322,0.8855521,0.5628923,0.2279139,0.7669553,0.4525598,0.08340052,0.156998,0.1333474,0.7594864,0.3764205,0.8081621,0.3428206,0.7859789,0.229644,0.5861228,0.2533392,0.760577,0.3631078,0.4270133,0.4500171,0.1889088,0.5193582,0.2240202,0.7676775,0.5136952,0.273149,0.3164208,0.1370228,0.9006612,0.5040626,0.3699994,0.1844375,0.8789497,0.3556403,0.44568,0.4671162,0.7771543,0.2939029,0.3180747,0.3941063,0.2274479
0.0319577,0.4861627,0.9102746,0.275109,0.4245701,0.3385944,0.7414955,0.5244149,0.5170798,0.8652458,0.7493505,0.1819054,0.7988028,0.4856911,0.09498064,0.217413,0,0.7389649,0.4155151,0.8559116,0.4108497,0.7592945,0.3253743,0.6367777,0.1816048,0.7660319,0.3996141,0.4749279,0.4879999,0.1428282,0.5772799,0.2231468,0.7678903,0.4979551,0.2331648,0.327569,0.139983,0.7681907,0.4635085,0.3636351,0.2251931,0.7288024,0.264704,0.403367,0.5048926,0.81468,0.2528552,0.3823088,0.5092319,0.2409425
0.05663356,0.4125773,0.8507951,0.2186054,0.4313383,0.3318966,0.8191196,0.4421367,0.4316024,0.7893941,0.6779052,0.1987509,0.8896763,0.5549017,0.1204416,0.2892882,0.09599422,0.7525234,0.4610264,0.791124,0.5223283,0.7288889,0.3821481,0.6068677,0.1143438,0.7942791,0.4890187,0.449904,0.4572483,0.1195379,0.6614739,0.144029,0.8034599,0.4541101,0.159598,0.3128828,0.1732607,0.8732939,0.4919904,0.3922091,0.09585097,0.8888161,0.3406565,0.371793,0.4349893,0.8577563,0.144906,0.4588178,0.4702504,0.2046247
0.0589287,0.4258083,0.7911957,0.2565354,0.4123583,0.3882926,0.7789049,0.5221567,0.4865527,0.7899208,0.7425511,0.1705791,0.8860576,0.5474253,0.06586394,0.1530508,0.03727166,0.7916973,0.4770443,0.8427448,0.402637,0.762665,0.3073926,0.6501775,0.1974251,0.7412987,0.3112664,0.4254144,0.4962997,0.1540087,0.6321085,0.131022,0.7590132,0.5642091,0.1540436,0.3699692,0.03927331,0.7811845,0.4669815,0.4310434,0.08350128,0.8132682,0.2580285,0.2966173,0.4407164,0.7651328,0.1807854,0.4359598,0.3608542,0.2161842
