ch0,ch1,ch2,ch3
-0.04771611,-0.117254,-0.07406717,0.006285563
-0.9673224,1.780395,0.6992314,0.3700908
0.5759888,1.264408,0.5393481,-0.3535779
0.5931024,1.803855,-0.1466625,0.4406159
0.5158759,2.35041,0.02401514,-0.8023863
-0.08358982,2.080658,0.2765356,0.1624967
-1.329712,-0.1389493,0.4376768,-0.7815765
0.2788113,-0.8291994,-1.169827,0.8574963
-1.907002,0.6324516,-1.422766,-0.5448895
0.6719261,-1.242368,-0.7128096,-0.8086153
0.2616834,-1.666105,-0.2609416,1.486527
0.04989009,-1.29573,-0.4470541,-0.4886619
-0.909609,0.1960033,-0.6186348,1.188169
1.022644,-1.319639,-0.5974115,-0.4490148
0.1341545,0.09409981,-0.9691545,2.115694
-2.24406,0.09032876,-0.8566046,-0.9552526
-1.187722,-0.1572017,-0.6607147,1.151751
0.5110894,0.2964571,-1.922056,-1.166933
-0.6191542,0.2863257,-0.8776794,-0.1182526
-0.9784441,0.09483359,-0.8359081,-1.214131
-0.1532603,0.2029828,-0.7484691,1.590904
-1.017428,0.3230596,0.3711374,-2.339972
0.648025,-1.170167,-0.006966173,1.587688
-0.2267147,-0.6744471,-0.256766,-0.9594421
0.0367384,-0.5784409,-2.322506,1.12982
-1.207523,0.3438124,0.2590473,-0.5891044
-1.66277,-0.2053225,0.9043205,1.031249
0.5647834,-1.034256,0.08805171,-0.4860093
0.13443,-0.7802507,-0.1808716,0.5829087
-1.189694,-1.383129,0.5406312,-0.1279443
0.3520827,-0.3086278,-1.760984,0.2006129
-1.031213,-0.4056923,-0.6411732,-0.5380329
-0.5632442,-1.306928,-0.1585539,0.4530365
-0.1358317,-1.093568,-1.348716,0.1181898
1.888541,-1.225835,-0.5533363,0.4449334
0.3381756,0.9542909,-1.030804,0.09517
-1.161882,0.7027925,-0.4911037,-0.8331838
0.729465,-0.3828421,1.020347,1.228277
0.05222745,1.770681,-1.252417,-0.3481845
0.2888903,0.9598575,0.5166815,-0.03641504
0.07080719,0.2103546,0.1324038,-0.1684615
-0.1839293,-0.7140008,0.3612676,-0.4837335
-2.055156,-0.7530271,-0.1302451,0.5490191
-0.5315006,-2.946553,-1.633822,0.2420416
0.3254072,-1.586331,-2.446009,0.2663925
0.2888764,-0.5999747,-1.061615,0.1177158
0.2861525,0.368948,-1.49521,-0.2333688
0.1746179,-0.4769936,0.03210935,0.1807503
-1.964392,0.8181872,-0.4309445,-0.09380861
0.1893875,-1.780127,0.6102306,-1.240366
1.139175,-0.5763674,0.4081148,1.683589
-2.814635,1.42414,-1.165673,-2.172939
1.091791,0.5410214,0.4300581,0.03502472
2.036305,-0.08694525,0.2188066,0.306111
-0.4349778,0.8948268,0.9209375,-0.2151481
0.323501,0.3892938,0.7316688,0.5424791
0.790635,0.453154,1.037891,-1.18582
-0.2550813,0.5211536,0.5581964,1.793863
0.9923716,-0.4143234,0.6642351,-1.437398
-2.461626,0.8261853,-0.06525364,0.9187932
0.07496583,-2.391659,0.6536538,-1.662676
2.062856,-2.139093,-1.025166,1.965532
1.454838,0.1778132,-0.823764,-2.07522
1.022231,2.078791,-0.2503198,1.908467
0.7841224,0.6926435,2.082442,-2.482348
-0.9942375,0.2421216,0.5457751,1.8928
0.08205451,-0.9915667,0.4082027,-1.573505
1.049318,-0.149318,1.29296,2.588234
0.09511845,0.3786996,1.524712,-1.772718
0.7769073,0.4003199,0.1301692,1.945223
1.131106,0.3628972,1.036411,-1.866687
