ch0,ch1,ch2
-0.0888433,-0.0121644,-1.10063
-0.0372032,-0.0563174,0.776565
-0.0368708,0.666974,-0.481444
-0.427157,-0.547026,0.131927
-0.366475,0.0906531,0.612504
-0.269655,0.335869,0.237799
-0.210527,-0.900308,-0.106704
-0.318316,0.54319,0.34391
-0.229167,-0.498644,-0.221608
-0.182102,3.66355,1.20495
-0.136968,-3.01751,0.590868
-0.10513,2.21826,-0.408785
-0.238315,-1.9133,0.25413
-0.184976,1.56798,-0.1705
-0.169284,-1.09554,0.21736
0.235748,0.690888,-0.0934711
0.225108,-0.709555,0.199308
0.178819,0.306287,1.16436
0.0470571,-0.465834,-0.753794
0.0373949,0.326676,-0.0535514
0.0301126,-0.278919,0.395968
-0.152775,0.172549,-0.250856
0.977727,-0.215262,0.152664
0.782765,-0.620216,-0.074355
1.10648,-0.096739,-0.0767835
0.741099,-0.372558,0.249226
1.02635,-0.256091,0.766262
0.563174,-0.294621,-0.522157
0.419727,-0.205501,0.627313
0.349362,0.669228,-0.193913
0.277519,-0.799721,-0.169243
-1.09077,0.415612,0.329372
-1.00156,-0.789606,-0.227217
-0.736757,-0.141242,-0.291704
0.324919,-0.621234,0.154497
0.334659,0.298732,0.00234876
0.263721,-0.474194,0.101399
0.260014,0.624966,0.559013
0.0568963,-0.676692,-0.362467
0.0584531,0.482558,0.470487
-0.198221,-0.464122,-0.303966
-0.157452,0.915242,0.426101
-0.125292,-1.03159,-0.223263
-0.0479211,0.682232,0.157472
-0.0408459,-0.544321,0.0518321
0.141222,0.625072,-0.926608
0.111415,-0.589316,1.34162
0.147038,0.423386,-0.853434
0.165467,-0.432482,0.582099
-0.492405,0.354156,-0.380198
-0.391126,-0.33736,0.189888
-0.310677,0.520768,-0.0475397
-0.294005,-0.636827,-0.408144
-0.232959,0.275728,0.111502
-0.493412,-0.213486,0.0614937
-0.374726,-0.161248,-0.0393922
-0.284407,-0.160096,0.185478
-0.2232,-0.12246,-0.0721878
1.34171,0.0517499,0.638976
1.07013,-1.03079,-0.370943
0.850066,-0.142589,0.85925
0.635966,-0.543816,-0.468041
0.507789,-0.0882564,0.294719
0.314385,-0.252831,-0.0714796
0.455444,-0.0354401,-0.0104836
0.334607,-0.300263,-0.0257435
0.266185,-0.00725137,0.203115
0.999597,-0.10659,-0.158196
0.951793,-0.659081,0.309837
0.757465,-0.191173,-0.534951
0.864437,-0.507262,0.264789
0.68663,-0.521324,0.137956
0.595699,-0.102427,0.423388
0.473181,-0.424319,0.234669
0.301631,-0.0135133,-0.467878
0.24756,-0.441948,0.159926
0.278292,0.119183,0.223725
0.216909,-0.308129,-0.0700507
0.0402388,0.0505933,0.0115239
0.0172266,0.192475,-0.0634988
-1.33406,-0.170947,0.0348664
-1.08212,-0.90922,0.0616589
-0.98389,-0.0285489,-0.153294
0.0456575,-0.705751,0.18955
