ch0,ch1,ch2
-0.0139046,0.0454891,-0.114604
-0.642802,0.00957897,-0.159182
0.197354,0.431714,-0.114615
-0.0657117,-0.0699555,-0.109766
0.0203364,0.0715505,-2.38382
-0.0309605,-0.361364,-1.6836
0.00959989,-0.045146,-1.48865
-0.0138473,0.0817425,-1.02585
-0.222507,0.0205358,-0.494192
0.13828,0.300669,-0.3213
0.02554,-0.0181195,-0.128379
0.491721,-0.175298,-0.00305857
-0.152589,-0.435285,-0.101621
0.0407273,0.264138,0.0484441
-0.0288593,0.15371,0.159332
-0.360898,0.0579306,0.2714
0.206804,0.286074,0.244462
-0.197668,-1.57255,0.184528
-0.105076,-0.148582,-0.502276
0.0317396,-0.559094,-0.616389
0.318386,-0.133177,-0.966188
-0.0974818,-0.269463,-0.803721
-0.077054,0.0232906,-0.63788
-0.0123327,0.0738258,-0.68379
0.0282701,0.0237645,-0.474028
-0.00918693,-0.234772,-0.324966
-0.0425956,-0.05128,-0.477779
0.012002,0.0969888,-0.625269
0.037634,0.860148,-0.396289
0.759995,-0.0238934,0.309117
-0.428428,-0.533504,0.22727
0.108378,0.354968,0.384729
-0.0855607,-0.00490592,0.300143
-1.38909,0.0647246,0.27735
0.352255,0.961792,0.0164306
-0.216654,0.540279,1.2197
0.209232,0.271383,1.37645
-0.0651627,-0.175061,2.16968
-0.407522,-0.28601,2.34037
0.153514,0.295011,1.35914
-0.0521638,0.191408,0.978524
-0.513472,0.0757802,0.895262
0.138111,0.39697,0.550638
-0.063253,-0.0324504,0.40552
-0.0471058,0.978784,0.303246
0.0146215,0.136834,0.585425
-1.14096,0.0608838,0.543829
0.352166,0.695615,0.448037
-0.00528403,-0.0939218,0.491247
0.0636608,0.0010058,0.48777
0.116338,0.150259,0.349311
0.104159,-0.0621038,0.227838
0.296836,-0.126142,0.18744
-0.231975,-0.266232,0.104548
0.132505,0.0298466,0.325543
-0.685531,-0.00479746,0.112039
0.190835,0.491994,0.161875
-0.760917,-0.555929,0.109266
0.351295,0.432059,-0.86259
0.128232,-0.197739,-0.633086
-0.0405649,-0.70797,-0.398228
0.571489,-0.108265,-0.669909
-0.208074,-0.441963,-1.2716
0.0649156,0.0431102,-0.858748
-0.0197882,-0.0660858,-0.672841
-0.11438,-0.193795,-0.497788
0.0438966,-0.165395,-0.627012
0.715363,0.614321,-0.229716
-0.329674,-0.672618,0.427532
0.175051,0.138688,0.176757
-0.0546942,-0.100696,-0.2835
0.571147,0.023268,-0.17543
-0.165927,-1.40854,-0.150381
0.0824152,-0.0206935,-0.515172
0.0010282,-0.118935,-0.754389
0.00122634,0.97594,-0.589274
-0.272297,0.173558,0.209986
0.354032,0.0667658,0.304892
-0.367383,-0.102815,-0.508322
0.115372,0.252206,-0.213942
-0.0126483,-0.0404922,-0.052578
-0.0549043,0.0778075,0.0389225
0.0173443,-0.0430579,0.0852241
0.153911,-0.283588,0.00467516
-0.0477661,-0.173702,-0.211838
-0.0553546,0.100068,0.658395
-2.46164,0.0616267,0.524009
0.672161,0.494037,0.393035
-0.22925,-0.12392,0.0240569
0.0573734,0.26628,0.297602
-0.106278,0.00636631,-0.237967
0.0383532,1.05059,-0.145491
-0.0308846,0.160604,0.468058
0.00945363,0.0568034,0.887494
0.0283807,-0.0739414,0.660198
-0.0714063,-0.0145715,1.13556
0.0194547,0.184608,1.4576
0.999144,0.0198207,1.15236
-0.243247,-0.964012,0.859298
-0.14095,0.00517956,2.89098
0.0436918,0.109895,-0.763499
0.00442763,-0.00753626,-0.630197
0.186292,-0.208834,-0.709011
-0.0574835,-0.18121,-1.30611
0.00290267,-0.0331968,-1.22623
-0.0398868,0.0555204,-0.959574
0.0392198,0.0417178,0.310623
-0.00910332,-0.0235786,0.257775
-0.0109655,0.00278408,0.182286
0.00272715,0.0388712,0.127673
-0.00805576,0.431093,-0.00603611
0.0405539,0.088029,0.453983
-0.0454308,-0.0138192,0.390032
0.0256076,-0.010469,0.818362
0.0537952,-0.0219392,0.547867
-0.00519807,-0.335679,0.237709
-0.0564463,-0.0631193,-0.235612
0.260827,0.376553,-0.0653745
-0.112141,-0.128644,0.259855
0.0425566,0.0567355,0.369507
-0.0559598,-0.0327151,0.43328
-0.513178,-0.0418749,0.312287
0.160411,0.404044,0.355816
